user_id	Labeling and mislabeling	Catastrophizing	Dichotomous Reasoning	Emotional Reasoning	Disqualifying the Positive	Magnification and Minimization	Mental Filtering	Mindreading	Fortune-telling	Overgeneralizing	Personalizing	Should statements
R0170	11	0	43	0	0	3	0	10	0	0	2	7
R0172	27	0	186	1	5	32	0	12	4	12	3	30
R0173	33	0	283	0	0	31	0	23	8	0	7	51
R0174	8	0	78	0	2	2	0	14	0	3	0	16
R0175	36	0	229	0	1	49	0	28	6	5	2	77
R0176	25	0	234	0	11	69	0	11	6	9	6	54
R0177	0	0	0	0	0	0	0	0	0	0	0	0
R0178	0	0	0	0	0	0	0	0	0	0	0	0
R0179	46	0	323	0	1	14	0	41	7	20	9	64
R0180	12	0	258	1	4	13	0	9	2	15	1	59
R0181	2	0	4	0	0	0	0	0	0	0	0	1
R0182	0	0	1	0	0	0	0	0	0	1	0	0
R0183	50	3	268	0	1	28	0	35	5	11	18	44
R0184	4	0	29	0	0	4	0	0	2	1	0	3
R0185	120	0	576	4	15	97	1	26	7	24	7	107
R0186	15	0	158	1	5	21	0	8	2	12	19	41
R0187	10	0	58	0	2	7	0	2	0	0	0	32
R0188	49	0	290	0	8	26	0	23	2	16	14	52
R0189	66	0	364	1	5	61	0	40	4	34	8	77
R0190	49	0	319	0	2	79	0	93	5	6	0	51
R0191	23	0	166	0	6	11	0	25	2	3	2	72
R0193	2	0	13	0	0	0	0	0	0	3	1	2
R0194	50	0	494	0	0	127	0	24	1	14	14	66
R0195	55	1	404	6	13	49	1	36	9	28	9	116
R0196	14	0	64	0	1	5	0	15	1	2	2	9
R0197	22	1	367	2	3	34	0	2	1	11	5	17
R0198	3	0	10	0	0	3	0	1	0	2	0	5
R0199	6	0	57	0	0	6	0	57	1	26	3	5
R0200	11	0	67	0	2	5	0	2	0	1	3	17
R0201	140	1	608	0	3	38	1	58	21	8	24	126
R0202	0	0	0	0	0	0	0	0	0	0	0	0
R0203	67	2	539	1	5	57	0	35	20	18	26	145
R0204	0	0	0	0	0	0	0	0	0	0	0	0
R0205	1	0	2	0	0	0	0	0	0	0	0	0
R0206	84	0	355	0	2	26	2	59	28	15	5	124
R0207	27	0	126	0	1	13	0	11	6	12	11	36
R0208	49	0	405	3	4	96	1	26	2	17	5	69
R0209	7	0	52	0	0	7	0	2	0	0	1	12
R0210	37	0	127	0	3	43	0	10	1	11	12	27
R0211	12	1	243	0	0	52	0	35	1	1	0	82
R0212	43	0	289	2	3	52	3	42	12	13	47	83
R0213	16	0	111	0	1	14	0	7	1	5	2	41
R0214	10	1	215	0	0	32	0	19	5	7	2	119
R0215	13	0	124	0	0	22	0	8	2	4	0	33
R0216	5	0	122	0	1	6	0	70	0	2	0	13
R0217	0	0	0	0	0	0	0	0	0	0	0	0
R0219	89	1	450	0	10	73	1	45	13	12	14	140
R0220	5	0	54	0	3	4	0	11	0	7	2	7
R0221	6	0	4	0	0	0	0	0	0	0	0	6
R0222	0	0	1	0	0	0	0	0	0	0	0	0
R0223	0	0	0	0	0	0	0	0	0	0	0	0
R0224	15	0	189	0	1	23	0	8	10	8	5	23
R0225	0	0	0	0	0	0	0	0	0	0	0	0
R0226	42	0	327	1	13	43	0	10	9	9	21	46
R0227	21	0	213	1	3	25	1	12	3	10	10	34
R0228	32	1	212	1	4	12	0	15	7	3	1	34
R0229	1	0	3	0	0	6	0	0	0	0	1	2
R0230	12	0	63	0	0	6	0	4	2	2	1	12
R0231	0	0	0	0	0	0	0	0	0	0	0	0
R0232	4	0	167	0	0	10	0	9	2	5	6	43
R0233	58	1	332	0	0	51	2	19	7	10	26	43
R0234	3	0	59	0	0	15	0	0	0	0	0	0
R0235	0	0	2	0	0	1	0	1	0	0	0	0
R0236	1	0	29	0	0	1	0	2	0	1	0	2
R0237	0	0	3	0	0	0	0	3	2	0	0	0
R0238	0	0	2	0	0	1	0	0	0	0	0	0
R0239	0	0	0	0	0	0	0	0	0	0	0	1
R0240	29	0	348	1	5	30	0	28	3	32	7	71
R0241	0	0	1	0	0	0	0	0	0	0	0	1
R0242	17	0	119	0	3	17	0	9	2	3	1	21
R0243	2	0	10	0	0	0	0	3	1	0	0	1
R0244	61	0	322	0	4	29	0	38	7	9	18	73
R0245	0	0	0	0	0	0	0	0	0	0	0	0
R0246	9	0	27	0	0	1	0	0	0	0	0	9
R0247	1	0	7	0	0	1	0	1	0	0	0	0
R0248	4	0	54	0	0	5	0	1	0	4	2	8
R0249	0	0	3	0	1	1	0	0	0	0	0	0
R0250	48	1	300	2	1	35	0	11	8	17	20	40
R0251	23	0	256	0	2	35	1	19	3	0	13	47
R0252	27	1	284	0	0	37	0	14	5	25	9	28
R0253	20	0	135	0	4	3	0	6	1	3	2	16
R0254	0	0	1	0	0	0	0	0	0	0	0	0
R0255	24	1	156	0	1	18	0	10	4	6	14	19
R0256	17	1	32	0	0	6	0	2	0	2	1	16
R0257	1	0	14	0	0	3	0	0	1	1	1	7
R0258	2	0	5	0	0	1	0	0	0	0	0	0
R0259	0	0	27	0	0	9	0	0	1	3	1	4
R0260	1	0	6	0	0	0	0	0	0	0	0	1
R0261	0	0	4	0	0	0	0	0	0	1	0	0
R0262	69	0	269	0	0	44	1	35	14	5	1	80
R0263	0	0	16	0	0	2	0	2	0	1	0	3
R0264	33	1	283	2	4	34	1	14	5	10	33	55
R0265	4	0	49	1	0	8	0	12	1	3	2	12
R0266	93	7	697	0	1	64	0	63	51	19	16	304
R0267	0	0	5	0	0	0	0	1	0	1	0	0
R0268	4	0	142	0	0	42	0	8	0	11	14	22
R0269	0	0	22	0	1	7	0	2	1	1	0	5
R0270	0	0	2	0	0	0	0	0	1	0	0	0
R0271	3	0	78	0	2	8	0	7	0	2	1	17
R0272	3	0	53	0	0	7	0	1	1	0	1	6
R0273	0	0	6	0	0	1	0	2	0	1	0	0
R0274	19	0	169	0	0	19	0	6	0	16	3	33
R0275	1	0	16	0	0	2	0	0	0	0	0	0
R0276	8	1	30	0	0	2	0	0	2	0	0	13
R0277	1	0	42	0	0	3	0	4	0	0	2	17
R0278	14	0	91	0	0	13	0	5	3	1	3	21
R0279	44	3	242	0	6	92	0	24	4	6	3	74
R0280	22	2	162	0	0	22	1	16	9	6	3	25
R0281	35	0	300	0	7	26	0	13	7	27	28	32
R0282	5	0	67	0	0	11	0	7	2	0	1	12
R0283	7	0	26	0	0	1	0	4	0	1	2	10
R0284	17	0	225	0	5	10	0	3	2	6	3	20
R0285	65	2	295	0	2	50	0	38	2	10	3	159
R0286	2	0	22	0	0	5	0	0	0	1	1	6
R0287	1	0	88	0	0	17	0	4	1	0	0	3
R0288	2	0	9	0	0	0	0	3	0	0	0	10
R0289	0	0	2	0	0	2	0	0	0	0	0	0
R0290	5	0	29	1	0	3	0	3	0	0	0	3
R0291	0	0	1	0	0	0	0	0	0	0	0	0
R0292	64	0	294	0	6	27	2	18	3	16	12	50
R0293	15	0	142	0	2	19	0	27	12	7	7	30
R0294	0	0	0	0	0	0	0	0	0	0	0	0
R0295	3	0	90	0	0	11	0	7	0	2	0	12
R0297	0	0	8	0	0	2	0	0	0	0	0	4
R0298	5	0	14	1	0	2	0	1	0	0	1	0
R0299	95	3	551	0	22	33	1	52	53	12	31	178
R0300	1	0	6	0	0	2	0	0	1	0	0	1
R0301	0	0	4	0	0	0	0	2	0	0	0	1
R0302	4	0	95	0	0	11	0	28	1	0	0	3
R0303	82	148	1202	1	0	196	1	206	109	25	4	90
R0304	0	0	10	0	0	12	0	1	0	0	0	1
R0305	248	0	625	0	0	18	0	87	37	23	27	61
R0306	0	0	1	0	0	0	0	0	0	1	1	1
R0307	0	0	1	1	0	0	0	1	0	0	0	0
R0308	3	1	23	0	0	3	0	0	0	0	0	3
R0309	66	2	235	0	0	58	0	15	0	6	0	13
R0310	97	1	542	2	6	45	0	68	21	26	27	144
R0311	0	0	0	0	0	0	0	0	0	0	0	0
R0312	0	0	0	0	0	0	0	0	0	0	0	0
R0313	3	0	42	0	0	6	0	1	1	1	2	9
R0314	9	0	48	0	0	34	0	2	1	0	0	2
R0315	2	0	24	0	0	1	0	4	0	1	0	0
R0316	4	0	25	0	0	0	1	1	2	1	1	1
R0318	5	0	28	1	0	9	0	12	1	1	0	4
R0319	7	0	44	0	0	26	0	1	16	1	0	5
R0320	0	0	0	0	0	0	0	0	0	0	0	0
R0321	45	0	220	0	5	14	0	14	3	7	10	43
R0322	14	0	201	0	3	14	0	13	5	3	15	37
R0323	7	0	91	0	0	11	0	2	3	1	0	19
R0324	3	0	36	0	0	1	0	2	3	1	1	6
R0325	55	8	525	0	0	111	0	80	3	14	5	133
R0326	0	0	1	0	0	0	0	0	0	0	0	0
R0327	5	0	22	0	0	4	0	2	0	0	0	3
R0328	21	0	140	0	1	8	0	12	1	5	6	26
R0329	0	0	0	0	0	0	0	0	0	0	0	0
R0330	7	0	100	0	1	12	0	3	1	6	1	12
R0331	2	0	3	0	0	1	0	1	0	1	0	1
R0332	53	0	335	0	4	41	2	26	2	13	8	64
R0333	18	0	65	0	0	3	0	8	0	4	0	115
R0334	0	0	4	0	0	0	0	1	0	0	1	0
R0335	31	1	176	0	2	32	0	25	2	9	5	44
R0336	7	1	51	0	1	9	0	13	4	1	0	10
R0337	22	0	197	0	2	11	1	10	6	0	0	50
R0338	0	0	3	0	0	1	0	0	0	0	0	0
R0339	112	0	252	0	2	7	0	41	0	14	2	8
R0340	0	0	0	0	0	0	0	0	0	0	0	0
R0341	7	1	128	0	0	26	0	14	0	1	0	7
R0342	0	0	0	0	0	0	0	0	0	0	0	0
R0343	13	0	123	0	0	7	0	6	11	2	0	6
R0344	7	0	51	0	0	13	0	3	0	0	1	6
R0347	3	0	10	0	0	2	0	0	0	0	0	0
R0348	191	1	529	1	4	95	3	23	7	11	9	73
R0349	0	0	0	0	0	0	0	0	0	0	0	0
R0350	2	0	21	0	0	5	0	3	0	0	0	9
R0351	0	0	5	0	0	0	0	0	0	0	1	1
R0352	0	0	2	0	0	0	0	0	0	0	0	0
R0353	0	0	0	0	0	0	0	0	0	0	0	0
R0354	4	0	31	0	0	5	0	0	0	1	0	0
R0355	1	0	29	0	1	3	0	3	0	2	2	5
R0356	35	1	253	2	2	71	2	38	4	9	4	98
R0357	0	0	1	0	0	1	0	0	0	0	0	0
R0358	10	0	43	0	3	10	0	5	1	1	4	13
R0359	0	0	8	0	0	1	0	1	0	0	0	1
R0360	4	0	48	0	2	4	0	2	2	3	1	3
R0361	0	0	1	0	0	1	0	0	0	0	0	0
R0362	24	0	153	0	1	23	0	29	1	2	2	33
R0363	18	0	490	0	0	230	0	5	2	3	0	9
R0364	10	0	493	0	0	128	0	3	5	0	0	45
R0365	132	4	760	0	7	58	1	107	19	55	2	181
R0366	41	4	322	2	9	40	0	8	14	18	13	85
R0367	0	0	8	0	0	1	0	0	0	0	0	0
R0368	1	0	29	0	0	4	0	3	1	2	0	4
R0369	112	0	521	2	5	77	2	47	13	32	45	169
R0370	132	4	1039	0	19	55	2	46	20	53	3	385
R0371	4	0	43	0	0	13	0	1	0	2	1	15
R0372	72	2	321	0	9	71	0	37	13	16	9	118
R0373	0	0	0	0	0	0	0	0	0	0	0	0
R0374	18	0	130	0	0	18	0	32	2	4	0	97
R0376	5	0	35	0	0	1	0	2	1	1	1	14
R0377	153	1	460	0	4	32	2	31	5	14	20	154
R0379	114	0	644	0	4	35	1	83	11	34	5	159
R0380	3	0	43	0	0	4	0	1	1	1	1	9
R0381	2	0	36	0	0	3	0	5	0	1	2	5
R0382	0	0	0	0	0	0	0	0	0	0	0	0
R0383	13	0	47	0	0	8	1	10	1	9	0	12
R0384	6	0	58	0	1	8	0	1	1	0	3	4
R0385	1	0	14	0	0	1	0	1	0	1	0	2
R0386	45	0	431	2	4	55	0	36	12	36	29	81
R0387	23	3	182	0	0	19	0	28	6	12	0	63
R0388	5	0	44	0	0	5	0	1	0	0	1	18
R0389	14	0	141	0	1	13	0	4	4	3	2	28
R0390	0	0	16	0	0	4	0	1	2	0	0	4
R0391	96	2	510	0	4	53	0	58	7	27	11	108
R0392	49	0	306	0	1	29	0	21	16	9	0	96
R0393	83	0	332	1	1	36	4	31	15	13	7	118
R0394	6	0	7	0	0	0	0	0	1	0	1	3
R0396	0	0	0	0	0	0	0	0	0	0	0	0
R0397	7	0	63	0	0	7	0	7	1	6	7	10
R0398	2	0	46	0	0	8	0	4	0	2	0	3
R0399	1	0	12	0	0	0	0	1	0	2	0	2
R0400	18	0	140	1	1	14	0	9	2	7	12	5
R0401	4	0	21	0	0	3	0	2	0	1	1	7
R0403	0	0	1	0	0	0	0	0	0	0	0	0
R0404	2	0	24	0	1	2	1	3	0	0	2	10
R0405	6	0	67	0	0	17	0	4	2	2	3	12
R0406	4	0	28	0	2	1	0	0	0	0	1	6
R0407	53	0	285	3	7	47	0	19	8	10	13	55
R0408	0	0	5	0	0	1	0	2	0	1	1	3
R0409	10	2	212	0	3	9	0	5	3	7	9	16
R0410	42	0	286	0	3	34	0	35	8	13	6	99
R0411	6	0	52	2	0	11	0	4	1	1	0	11
R0412	4	0	34	0	0	1	0	1	0	0	1	4
R0413	0	0	1	0	0	0	0	0	0	0	0	0
R0414	16	0	301	0	0	45	0	6	4	1	0	3
R0415	7	0	119	0	0	11	0	19	2	2	2	23
R0416	0	0	1	0	0	0	0	0	0	0	0	0
R0417	11	0	156	0	1	12	0	18	2	3	1	14
R0418	48	0	205	1	3	38	0	15	8	19	7	77
R0419	20	0	169	0	1	10	0	21	3	0	1	92
R0421	103	1	443	4	3	79	1	33	13	12	28	63
R0422	16	2	159	0	0	38	0	25	2	1	0	44
R0423	9	0	94	0	3	10	0	6	2	1	7	9
R0424	33	0	135	1	0	9	0	16	1	23	6	49
R0425	15	0	230	0	5	11	0	14	1	9	4	17
R0426	20	0	114	0	1	11	0	14	2	1	0	38
R0427	0	0	13	0	0	4	0	0	0	0	0	0
R0428	1	0	3	1	0	0	0	0	0	0	0	0
R0429	9	0	57	0	1	5	0	1	0	5	1	9
R0430	0	0	0	0	0	0	0	0	0	0	0	0
R0431	3	0	4	0	0	1	0	0	0	0	1	0
R0432	12	0	97	0	1	17	0	10	6	2	1	20
R0433	69	1	456	2	1	61	2	28	13	26	25	102
R0434	38	1	215	0	2	28	0	27	6	5	3	72
R0435	27	0	247	0	0	42	0	8	4	12	11	28
R0436	54	0	425	0	3	26	1	39	10	13	0	72
R0437	18	0	267	0	4	12	0	9	5	6	3	32
R0438	4	0	95	0	3	8	0	4	1	4	1	7
R0439	5	0	60	0	0	7	0	4	0	1	1	8
R0440	36	0	230	2	2	52	1	8	3	19	12	27
R0441	33	0	230	1	3	15	0	10	6	11	5	44
R0442	0	0	0	0	0	0	0	0	0	0	0	0
R0443	0	0	0	0	0	0	0	0	0	0	0	0
R0444	0	0	0	0	0	0	0	0	0	0	0	0
R0446	48	0	562	0	2	54	0	77	5	27	15	130
R0447	0	0	0	0	0	0	0	0	0	0	0	0
R0448	9	0	109	0	1	17	0	9	6	3	1	25
R0449	6	0	34	0	0	4	0	0	0	1	0	5
R0450	0	0	26	0	0	0	0	0	0	0	0	0
R0451	0	0	3	0	0	0	0	0	0	0	1	1
R0452	0	0	1	0	0	0	0	0	0	0	0	0
R0453	0	0	0	0	0	0	0	0	0	0	0	0
R0454	11	0	137	0	2	29	1	6	0	1	0	26
R0455	0	0	0	0	0	0	0	0	0	0	0	0
R0456	4	0	21	0	0	0	0	2	1	0	0	2
R0458	13	0	44	0	1	1	0	2	1	1	0	10
R0459	93	3	319	0	0	8	2	32	13	19	0	65
R0460	25	0	224	0	1	40	0	14	4	10	9	39
R0461	5	0	45	0	1	3	0	2	3	2	3	15
R0463	2	0	94	0	0	18	0	2	0	0	0	4
R0464	6	0	47	0	0	1	0	5	0	3	0	8
R0465	0	0	14	0	0	3	0	1	0	0	1	3
R0466	27	1	318	0	5	46	0	14	4	8	5	44
R0467	46	0	304	0	4	40	2	46	13	15	12	94
R0468	15	0	177	0	3	66	0	27	3	5	0	29
R0469	0	0	11	0	0	2	0	1	0	0	0	2
R0470	3	0	29	0	0	2	0	2	0	0	0	5
R0471	12	0	152	0	0	8	0	22	3	2	4	13
R0472	0	0	3	0	0	0	0	0	0	1	0	1
R0473	19	1	203	0	0	36	0	11	3	8	13	30
R0474	47	1	317	0	2	48	0	28	7	9	2	55
R0475	0	0	4	0	0	0	0	1	0	0	0	2
R0476	8	0	265	0	1	6	0	2	0	3	0	11
R0477	0	0	0	0	0	0	0	0	0	0	0	0
R0478	2	0	4	0	0	0	0	1	1	0	0	1
R0479	89	2	326	4	13	42	0	21	5	14	7	83
R0480	67	2	563	0	2	86	0	42	10	14	28	147
R0481	0	0	2	0	0	1	0	0	0	0	0	0
R0482	33	0	224	1	1	44	1	16	7	10	2	67
R0483	16	2	150	0	2	27	0	13	2	5	2	36
R0484	0	0	4	0	0	0	0	0	0	0	0	0
R0485	0	0	5	0	0	0	0	1	0	0	0	0
R0486	25	0	290	0	5	19	4	76	7	10	4	129
R0487	14	0	68	0	0	18	0	9	1	3	0	19
R0488	26	0	58	0	1	5	0	6	1	2	0	48
R0489	0	0	0	0	0	0	0	0	0	0	0	0
R0490	0	0	3	0	0	0	0	0	0	0	1	0
R0491	10	0	208	0	0	23	0	25	11	3	2	68
R0492	44	0	320	1	8	27	0	30	11	9	19	53
R0493	120	0	502	2	10	66	1	43	5	18	36	81
R0494	8	0	75	0	1	5	0	5	0	2	5	11
R0495	0	0	0	0	0	0	0	0	0	0	0	0
R0496	0	0	0	0	0	0	0	0	0	0	0	0
R0497	0	0	4	0	0	0	0	1	0	0	0	0
R0498	6	1	37	0	0	7	1	1	0	4	0	3
R0499	0	0	0	0	0	0	0	0	0	0	0	0
R0500	30	0	180	0	0	22	0	30	2	7	5	39
R0501	4	0	21	0	0	6	0	2	0	3	0	4
R0502	50	3	723	0	2	86	1	45	8	17	5	92
R0503	0	0	1	0	0	1	0	0	0	0	0	1
R0504	8	0	41	1	0	4	0	0	1	1	1	9
R0505	24	0	206	0	0	46	0	15	1	4	4	35
R0506	25	0	175	0	2	13	0	12	1	11	7	27
R0507	0	0	5	0	0	1	0	0	0	0	1	0
R0508	20	0	153	0	0	25	0	10	6	1	2	19
R0509	104	2	322	1	3	55	1	11	11	14	6	147
R0510	41	1	223	0	2	18	0	20	6	17	10	52
R0512	5	0	41	0	0	2	0	1	0	1	1	1
R0513	21	0	179	0	0	30	0	20	3	5	1	23
R0514	9	0	158	0	1	12	0	2	1	12	8	14
R0515	22	1	139	0	1	17	0	12	4	5	2	37
R0516	18	0	217	1	5	12	1	9	9	9	7	34
