user_id	Labeling and mislabeling	Catastrophizing	Dichotomous Reasoning	Emotional Reasoning	Disqualifying the Positive	Magnification and Minimization	Mental Filtering	Mindreading	Fortune-telling	Overgeneralizing	Should statements
R0133	24	0	357	0	3	21	0	24	3	9	36
R0134	0	0	0	0	0	0	0	0	0	0	0
R0135	8	0	169	0	0	18	0	3	0	7	21
R0136	1	0	27	0	0	21	0	1	0	0	8
R0137	18	1	228	0	5	16	0	16	1	7	34
R0138	58	0	184	0	0	23	0	20	4	9	58
R0139	82	0	375	1	9	64	0	11	3	10	114
R0140	4	0	84	0	0	13	0	6	0	7	7
R0141	16	1	142	0	20	17	0	6	3	4	40
R0142	0	0	1	0	0	1	0	0	0	0	0
R0143	6	0	48	1	6	2	0	1	1	1	5
R0145	0	0	10	0	0	0	0	0	0	1	0
R0146	3	0	19	0	1	0	0	0	1	1	3
R0147	0	0	1	0	0	0	0	0	0	0	0
R0149	1	0	7	0	0	0	0	1	0	0	3
R0150	0	0	10	0	0	0	0	0	0	0	0
R0151	44	1	354	0	4	44	0	27	2	4	92
R0152	27	0	260	0	4	25	1	16	2	4	67
R0153	0	0	1	0	0	0	0	0	0	0	4
R0154	2	0	33	0	0	5	0	3	0	3	4
R0155	17	0	68	0	1	8	0	12	0	2	13
R0156	7	0	41	0	1	5	0	2	0	0	10
R0157	97	0	722	0	5	160	0	59	7	29	93
R0158	43	2	303	0	6	47	1	22	2	14	68
R0159	30	1	181	0	2	46	0	9	2	2	49
R0160	104	2	639	0	4	169	0	36	15	11	138
R0161	28	3	324	0	1	24	0	63	7	5	63
R0162	1	1	73	0	0	6	0	3	0	0	10
R0163	0	0	13	0	0	1	0	6	1	1	2
R0164	2	0	70	0	1	1	0	6	0	2	13
R0165	64	1	316	0	5	26	1	64	11	13	115
R0167	18	0	209	0	2	23	0	17	3	5	45
R0168	63	1	688	0	1	44	0	41	7	23	164
R0170	7	0	43	0	0	3	0	10	0	0	7
R0172	22	0	186	0	5	32	0	12	2	5	30
R0173	31	0	283	0	0	31	0	23	8	0	51
R0174	8	0	78	0	2	2	0	14	0	3	16
R0175	36	0	229	0	1	49	0	28	6	5	77
R0176	21	0	234	0	11	69	0	11	3	7	54
R0177	0	0	0	0	0	0	0	0	0	0	0
R0178	0	0	0	0	0	0	0	0	0	0	0
R0179	39	0	323	0	1	14	0	41	4	15	64
R0180	10	0	258	0	4	13	0	9	0	10	59
R0181	2	0	4	0	0	0	0	0	0	0	1
R0182	0	0	1	0	0	0	0	0	0	1	0
R0183	37	3	268	0	1	28	0	35	1	6	44
R0184	4	0	29	0	0	4	0	0	2	1	3
R0185	83	0	576	1	15	97	1	26	3	16	107
R0186	12	0	158	1	5	21	0	8	0	11	41
R0187	10	0	58	0	2	7	0	2	0	0	32
R0188	38	0	290	0	8	26	0	23	1	13	52
R0189	55	0	364	0	5	61	0	40	4	31	77
R0190	49	0	319	0	2	79	0	93	5	6	51
R0191	21	0	166	0	6	11	0	25	2	3	72
R0193	2	0	13	0	0	0	0	0	0	1	2
R0194	41	0	494	0	0	127	0	24	1	9	66
R0195	51	1	404	0	13	49	0	36	6	24	116
R0196	11	0	64	0	1	5	0	15	0	2	9
R0197	18	1	367	0	3	34	0	2	1	8	17
R0198	2	0	10	0	0	3	0	1	0	0	5
R0199	5	0	57	0	0	6	0	57	1	25	5
R0200	6	0	67	0	2	5	0	2	0	1	17
R0201	101	1	608	0	3	38	1	58	10	5	126
R0202	0	0	0	0	0	0	0	0	0	0	0
R0203	58	2	539	0	5	57	0	35	11	15	145
R0204	0	0	0	0	0	0	0	0	0	0	0
R0205	0	0	2	0	0	0	0	0	0	0	0
R0206	75	0	355	0	2	26	0	59	19	10	124
R0207	23	0	126	0	1	13	0	11	5	3	36
R0208	34	0	405	2	4	96	1	26	2	10	69
R0209	7	0	52	0	0	7	0	2	0	0	12
R0210	30	0	127	0	3	43	0	10	1	8	27
R0211	10	1	243	0	0	52	0	35	1	1	82
R0212	31	0	289	0	3	52	0	42	4	9	83
R0213	13	0	111	0	1	14	0	7	0	5	41
R0214	9	1	215	0	0	32	0	19	4	7	119
R0215	12	0	124	0	0	22	0	8	2	3	33
R0216	5	0	122	0	1	6	0	70	0	2	13
R0217	0	0	0	0	0	0	0	0	0	0	0
R0219	80	1	450	0	10	73	0	45	7	9	140
R0220	3	0	54	0	3	4	0	11	0	4	7
R0221	6	0	4	0	0	0	0	0	0	0	6
R0222	0	0	1	0	0	0	0	0	0	0	0
R0223	0	0	0	0	0	0	0	0	0	0	0
R0224	6	0	189	0	1	23	0	8	4	4	23
R0225	0	0	0	0	0	0	0	0	0	0	0
R0226	25	0	327	0	13	43	0	10	2	6	46
R0227	14	0	213	0	3	25	0	12	3	6	34
R0228	26	1	212	0	4	12	0	15	6	3	34
R0229	0	0	3	0	0	6	0	0	0	0	2
R0230	8	0	63	0	0	6	0	4	0	2	12
R0231	0	0	0	0	0	0	0	0	0	0	0
R0232	2	0	167	0	0	10	0	9	1	4	43
R0233	44	1	332	0	0	51	0	19	3	4	43
R0234	2	0	59	0	0	15	0	0	0	0	0
R0235	0	0	2	0	0	1	0	1	0	0	0
R0236	0	0	29	0	0	1	0	2	0	0	2
R0237	0	0	3	0	0	0	0	3	2	0	0
R0238	0	0	2	0	0	1	0	0	0	0	0
R0239	0	0	0	0	0	0	0	0	0	0	1
R0240	17	0	348	1	5	30	0	28	1	10	71
R0241	0	0	1	0	0	0	0	0	0	0	1
R0242	17	0	119	0	3	17	0	9	2	3	21
R0243	2	0	10	0	0	0	0	3	0	0	1
R0244	44	0	322	0	4	29	0	38	4	6	73
R0245	0	0	0	0	0	0	0	0	0	0	0
R0246	9	0	27	0	0	1	0	0	0	0	9
R0247	0	0	7	0	0	1	0	1	0	0	0
R0248	2	0	54	0	0	5	0	1	0	3	8
R0249	0	0	3	0	1	1	0	0	0	0	0
R0250	32	1	300	0	1	35	0	11	5	13	40
R0251	19	0	256	0	2	35	1	19	1	0	47
R0252	20	1	284	0	0	37	0	14	4	18	28
R0253	14	0	135	0	4	3	0	6	0	2	16
R0254	0	0	1	0	0	0	0	0	0	0	0
R0255	12	1	156	0	1	18	0	10	1	4	19
R0256	16	1	32	0	0	6	0	2	0	2	16
R0257	0	0	14	0	0	3	0	0	1	1	7
R0258	2	0	5	0	0	1	0	0	0	0	0
R0259	0	0	27	0	0	9	0	0	0	3	4
R0260	0	0	6	0	0	0	0	0	0	0	1
R0261	0	0	4	0	0	0	0	0	0	1	0
R0262	60	0	269	0	0	44	0	35	9	4	80
R0263	0	0	16	0	0	2	0	2	0	0	3
R0264	14	1	283	0	4	34	1	14	4	5	55
R0265	3	0	49	0	0	8	0	12	0	3	12
R0266	84	7	697	0	1	64	0	63	38	18	304
R0267	0	0	5	0	0	0	0	1	0	1	0
R0268	1	0	142	0	0	42	0	8	0	4	22
R0269	0	0	22	0	1	7	0	2	0	1	5
R0270	0	0	2	0	0	0	0	0	0	0	0
R0271	3	0	78	0	2	8	0	7	0	2	17
R0272	0	0	53	0	0	7	0	1	1	0	6
R0273	0	0	6	0	0	1	0	2	0	1	0
R0274	10	0	169	0	0	19	0	6	0	7	33
R0275	1	0	16	0	0	2	0	0	0	0	0
R0276	7	1	30	0	0	2	0	0	0	0	13
R0277	0	0	42	0	0	3	0	4	0	0	17
R0278	11	0	91	0	0	13	0	5	3	1	21
R0279	38	3	242	0	6	92	0	24	3	4	74
R0280	15	2	162	0	0	22	1	16	4	6	25
R0281	29	0	300	0	7	26	0	13	1	16	32
R0282	4	0	67	0	0	11	0	7	2	0	12
R0283	6	0	26	0	0	1	0	4	0	1	10
R0284	9	0	225	0	5	10	0	3	0	5	20
R0285	59	2	295	0	2	50	0	38	2	10	159
R0286	2	0	22	0	0	5	0	0	0	0	6
R0287	0	0	88	0	0	17	0	4	1	0	3
R0288	2	0	9	0	0	0	0	3	0	0	10
R0289	0	0	2	0	0	2	0	0	0	0	0
R0290	4	0	29	0	0	3	0	3	0	0	3
R0291	0	0	1	0	0	0	0	0	0	0	0
R0292	44	0	294	0	6	27	1	18	3	13	50
R0293	9	0	142	0	2	19	0	27	8	5	30
R0294	0	0	0	0	0	0	0	0	0	0	0
R0295	2	0	90	0	0	11	0	7	0	1	12
R0297	0	0	8	0	0	2	0	0	0	0	4
R0298	3	0	14	0	0	2	0	1	0	0	0
R0299	82	3	551	0	22	33	1	52	28	11	178
R0300	0	0	6	0	0	2	0	0	1	0	1
R0301	0	0	4	0	0	0	0	2	0	0	1
R0302	4	0	95	0	0	11	0	28	1	0	3
R0303	76	148	1202	1	0	196	0	206	109	24	90
R0304	0	0	10	0	0	12	0	1	0	0	1
R0305	105	0	625	0	0	18	0	87	25	23	61
R0306	0	0	1	0	0	0	0	0	0	1	1
R0307	0	0	1	0	0	0	0	1	0	0	0
R0308	3	1	23	0	0	3	0	0	0	0	3
R0309	66	2	235	0	0	58	0	15	0	6	13
R0310	81	1	542	1	6	45	0	68	11	17	144
R0311	0	0	0	0	0	0	0	0	0	0	0
R0312	0	0	0	0	0	0	0	0	0	0	0
R0313	2	0	42	0	0	6	0	1	1	1	9
R0314	8	0	48	0	0	34	0	2	1	0	2
R0315	1	0	24	0	0	1	0	4	0	1	0
R0316	4	0	25	0	0	0	0	1	0	0	1
R0318	2	0	28	0	0	9	0	12	1	0	4
R0319	7	0	44	0	0	26	0	1	15	1	5
R0320	0	0	0	0	0	0	0	0	0	0	0
R0321	29	0	220	0	5	14	0	14	2	3	43
R0322	8	0	201	0	3	14	0	13	2	3	37
R0323	5	0	91	0	0	11	0	2	3	1	19
R0324	1	0	36	0	0	1	0	2	1	0	6
R0325	53	8	525	0	0	111	0	80	3	14	133
R0326	0	0	1	0	0	0	0	0	0	0	0
R0327	0	0	22	0	0	4	0	2	0	0	3
R0328	13	0	140	0	1	8	0	12	1	5	26
R0329	0	0	0	0	0	0	0	0	0	0	0
R0330	4	0	100	0	1	12	0	3	0	3	12
R0331	2	0	3	0	0	1	0	1	0	1	1
R0332	42	0	335	0	4	41	0	26	1	6	64
R0333	18	0	65	0	0	3	0	8	0	4	115
R0334	0	0	4	0	0	0	0	1	0	0	0
R0335	27	1	176	0	2	32	0	25	2	9	44
R0336	7	1	51	0	1	9	0	13	3	1	10
R0337	22	0	197	0	2	11	0	10	5	0	50
R0338	0	0	3	0	0	1	0	0	0	0	0
R0339	89	0	252	0	2	7	0	41	0	3	8
R0340	0	0	0	0	0	0	0	0	0	0	0
R0341	7	1	128	0	0	26	0	14	0	1	7
R0342	0	0	0	0	0	0	0	0	0	0	0
R0343	13	0	123	0	0	7	0	6	11	2	6
R0344	4	0	51	0	0	13	0	3	0	0	6
R0347	2	0	10	0	0	2	0	0	0	0	0
R0348	182	1	529	1	4	95	0	23	6	9	73
R0349	0	0	0	0	0	0	0	0	0	0	0
R0350	2	0	21	0	0	5	0	3	0	0	9
R0351	0	0	5	0	0	0	0	0	0	0	1
R0352	0	0	2	0	0	0	0	0	0	0	0
R0353	0	0	0	0	0	0	0	0	0	0	0
R0354	3	0	31	0	0	5	0	0	0	0	0
R0355	0	0	29	0	1	3	0	3	0	2	5
R0356	30	1	253	0	2	71	0	38	4	9	98
R0357	0	0	1	0	0	1	0	0	0	0	0
R0358	6	0	43	0	3	10	0	5	1	1	13
R0359	0	0	8	0	0	1	0	1	0	0	1
R0360	4	0	48	0	2	4	0	2	1	2	3
R0361	0	0	1	0	0	1	0	0	0	0	0
R0362	20	0	153	0	1	23	0	29	1	2	33
R0363	18	0	490	0	0	230	0	5	2	3	9
R0364	10	0	493	0	0	128	0	3	5	0	45
R0365	126	4	760	0	7	58	1	107	17	49	181
R0366	26	4	322	2	9	40	0	8	4	6	85
R0367	0	0	8	0	0	1	0	0	0	0	0
R0368	1	0	29	0	0	4	0	3	1	1	4
R0369	90	0	521	0	5	77	1	47	7	28	169
R0370	122	4	1039	0	19	55	1	46	17	48	385
R0371	4	0	43	0	0	13	0	1	0	2	15
R0372	65	2	321	0	9	71	0	37	8	14	118
R0373	0	0	0	0	0	0	0	0	0	0	0
R0374	16	0	130	0	0	18	0	32	2	3	97
R0376	5	0	35	0	0	1	0	2	1	1	14
R0377	132	1	460	0	4	32	1	31	0	9	154
R0379	91	0	644	0	4	35	0	83	9	33	159
R0380	1	0	43	0	0	4	0	1	0	1	9
R0381	2	0	36	0	0	3	0	5	0	1	5
R0382	0	0	0	0	0	0	0	0	0	0	0
R0383	13	0	47	0	0	8	1	10	1	8	12
R0384	3	0	58	0	1	8	0	1	0	0	4
R0385	0	0	14	0	0	1	0	1	0	0	2
R0386	32	0	431	1	4	55	0	36	9	23	81
R0387	19	3	182	0	0	19	0	28	5	11	63
R0388	4	0	44	0	0	5	0	1	0	0	18
R0389	14	0	141	0	1	13	0	4	4	1	28
R0390	0	0	16	0	0	4	0	1	1	0	4
R0391	78	2	510	0	4	53	0	58	7	20	108
R0392	37	0	306	0	1	29	0	21	12	6	96
R0393	67	0	332	0	1	36	0	31	12	12	118
R0394	6	0	7	0	0	0	0	0	0	0	3
R0396	0	0	0	0	0	0	0	0	0	0	0
R0397	3	0	63	0	0	7	0	7	0	4	10
R0398	2	0	46	0	0	8	0	4	0	2	3
R0399	1	0	12	0	0	0	0	1	0	0	2
R0400	8	0	140	0	1	14	0	9	0	2	5
R0401	4	0	21	0	0	3	0	2	0	1	7
R0403	0	0	1	0	0	0	0	0	0	0	0
R0404	1	0	24	0	1	2	0	3	0	0	10
R0405	4	0	67	0	0	17	0	4	1	1	12
R0406	1	0	28	0	2	1	0	0	0	0	6
R0407	40	0	285	0	7	47	0	19	5	7	55
R0408	0	0	5	0	0	1	0	2	0	1	3
R0409	6	2	212	0	3	9	0	5	1	2	16
R0410	38	0	286	0	3	34	0	35	8	10	99
R0411	3	0	52	2	0	11	0	4	0	0	11
R0412	2	0	34	0	0	1	0	1	0	0	4
R0413	0	0	1	0	0	0	0	0	0	0	0
R0414	16	0	301	0	0	45	0	6	4	1	3
R0415	7	0	119	0	0	11	0	19	2	2	23
R0416	0	0	1	0	0	0	0	0	0	0	0
R0417	4	0	156	0	1	12	0	18	0	1	14
R0418	36	0	205	0	3	38	0	15	6	14	77
R0419	19	0	169	0	1	10	0	21	3	0	92
R0421	89	1	443	2	3	79	0	33	7	9	63
R0422	15	2	159	0	0	38	0	25	2	1	44
R0423	5	0	94	0	3	10	0	6	1	0	9
R0424	26	0	135	0	0	9	0	16	0	19	49
R0425	11	0	230	0	5	11	0	14	0	7	17
R0426	20	0	114	0	1	11	0	14	2	0	38
R0427	0	0	13	0	0	4	0	0	0	0	0
R0428	0	0	3	0	0	0	0	0	0	0	0
R0429	5	0	57	0	1	5	0	1	0	5	9
R0430	0	0	0	0	0	0	0	0	0	0	0
R0431	3	0	4	0	0	1	0	0	0	0	0
R0432	10	0	97	0	1	17	0	10	5	2	20
R0433	61	1	456	0	1	61	1	28	9	16	102
R0434	32	1	215	0	2	28	0	27	4	4	72
R0435	21	0	247	0	0	42	0	8	3	9	28
R0436	53	0	425	0	3	26	1	39	10	13	72
R0437	12	0	267	0	4	12	0	9	4	5	32
R0438	3	0	95	0	3	8	0	4	1	2	7
R0439	5	0	60	0	0	7	0	4	0	0	8
R0440	21	0	230	0	2	52	1	8	3	10	27
R0441	30	0	230	0	3	15	0	10	6	6	44
R0442	0	0	0	0	0	0	0	0	0	0	0
R0443	0	0	0	0	0	0	0	0	0	0	0
R0444	0	0	0	0	0	0	0	0	0	0	0
R0446	42	0	562	0	2	54	0	77	3	21	130
R0447	0	0	0	0	0	0	0	0	0	0	0
R0448	8	0	109	0	1	17	0	9	4	1	25
R0449	3	0	34	0	0	4	0	0	0	1	5
R0450	0	0	26	0	0	0	0	0	0	0	0
R0451	0	0	3	0	0	0	0	0	0	0	1
R0452	0	0	1	0	0	0	0	0	0	0	0
R0453	0	0	0	0	0	0	0	0	0	0	0
R0454	11	0	137	0	2	29	0	6	0	1	26
R0455	0	0	0	0	0	0	0	0	0	0	0
R0456	2	0	21	0	0	0	0	2	0	0	2
R0458	13	0	44	0	1	1	0	2	0	0	10
R0459	89	3	319	0	0	8	2	32	9	19	65
R0460	22	0	224	0	1	40	0	14	3	10	39
R0461	4	0	45	0	1	3	0	2	2	2	15
R0463	1	0	94	0	0	18	0	2	0	0	4
R0464	5	0	47	0	0	1	0	5	0	2	8
R0465	0	0	14	0	0	3	0	1	0	0	3
R0466	22	1	318	0	5	46	0	14	4	5	44
R0467	33	0	304	0	4	40	0	46	4	13	94
R0468	15	0	177	0	3	66	0	27	2	5	29
R0469	0	0	11	0	0	2	0	1	0	0	2
R0470	2	0	29	0	0	2	0	2	0	0	5
R0471	9	0	152	0	0	8	0	22	0	2	13
R0472	0	0	3	0	0	0	0	0	0	1	1
R0473	12	1	203	0	0	36	0	11	2	5	30
R0474	47	1	317	0	2	48	0	28	7	5	55
R0475	0	0	4	0	0	0	0	1	0	0	2
R0476	8	0	265	0	1	6	0	2	0	2	11
R0477	0	0	0	0	0	0	0	0	0	0	0
R0478	2	0	4	0	0	0	0	1	0	0	1
R0479	78	2	326	0	13	42	0	21	4	12	83
R0480	44	2	563	0	2	86	0	42	7	9	147
R0481	0	0	2	0	0	1	0	0	0	0	0
R0482	30	0	224	1	1	44	0	16	3	5	67
R0483	13	2	150	0	2	27	0	13	2	5	36
R0484	0	0	4	0	0	0	0	0	0	0	0
R0485	0	0	5	0	0	0	0	1	0	0	0
R0486	20	0	290	0	5	19	0	76	7	10	129
R0487	12	0	68	0	0	18	0	9	1	3	19
R0488	24	0	58	0	1	5	0	6	0	1	48
R0489	0	0	0	0	0	0	0	0	0	0	0
R0490	0	0	3	0	0	0	0	0	0	0	0
R0491	8	0	208	0	0	23	0	25	6	3	68
R0492	26	0	320	0	8	27	0	30	5	5	53
R0493	81	0	502	0	10	66	0	43	1	12	81
R0494	3	0	75	0	1	5	0	5	0	0	11
R0495	0	0	0	0	0	0	0	0	0	0	0
R0496	0	0	0	0	0	0	0	0	0	0	0
R0497	0	0	4	0	0	0	0	1	0	0	0
R0498	3	1	37	0	0	7	0	1	0	2	3
R0499	0	0	0	0	0	0	0	0	0	0	0
R0500	20	0	180	0	0	22	0	30	1	6	39
R0501	1	0	21	0	0	6	0	2	0	2	4
R0502	40	3	723	0	2	86	1	45	7	9	92
R0503	0	0	1	0	0	1	0	0	0	0	1
R0504	5	0	41	0	0	4	0	0	1	1	9
R0505	15	0	206	0	0	46	0	15	1	4	35
R0506	19	0	175	0	2	13	0	12	0	9	27
R0507	0	0	5	0	0	1	0	0	0	0	0
R0508	13	0	153	0	0	25	0	10	2	1	19
R0509	94	2	322	0	3	55	1	11	8	12	147
R0510	35	1	223	0	2	18	0	20	5	12	52
R0512	1	0	41	0	0	2	0	1	0	0	1
R0513	18	0	179	0	0	30	0	20	2	5	23
R0514	5	0	158	0	1	12	0	2	1	6	14
R0515	20	1	139	0	1	17	0	12	2	5	37
R0516	16	0	217	0	5	12	0	9	4	6	34
R0517	14	1	106	0	2	7	0	2	3	1	29
R0518	6	0	107	0	1	16	0	5	1	0	19
R0519	17	1	162	0	1	11	0	5	14	7	20
R0520	4	0	448	0	0	3	1	1	1	0	15
R0521	50	0	289	2	6	79	0	28	5	6	108
R0522	0	1	20	0	1	5	0	1	1	1	4
R0523	45	0	261	0	1	29	0	35	3	4	102
R0524	27	0	215	0	1	55	0	61	6	4	48
R0525	11	0	165	0	0	5	0	14	1	1	19
R0526	27	0	201	0	4	22	0	15	2	6	25
R0527	42	0	237	0	1	15	1	25	7	7	104
R0529	10	0	160	0	2	21	0	7	0	7	18
R0530	0	0	2	0	0	0	0	0	0	0	0
R0531	20	0	155	0	2	14	0	4	1	6	8
R0532	0	0	5	0	0	2	0	0	0	0	0
R0533	4	0	246	0	0	76	0	27	1	3	11
R0534	12	0	136	0	4	18	0	13	2	6	32
R0535	0	0	0	0	0	0	0	0	0	0	0
R0536	2	0	66	0	0	12	0	2	0	1	3
R0537	72	0	465	0	3	37	0	39	3	15	85
R0538	0	0	2	0	0	2	0	0	0	0	0
R0539	4	0	13	0	0	1	0	3	0	1	7
R0540	0	0	2	0	0	1	0	0	0	0	0
R0541	0	0	1	0	0	0	0	0	0	0	0
R0542	102	4	792	0	7	72	0	76	8	21	212
R0543	12	2	111	0	2	23	0	8	6	3	64
R0544	9	0	59	0	0	15	0	5	0	3	17
R0545	0	0	2	0	0	3	0	0	0	0	0
R0546	4	0	39	0	0	8	0	3	1	0	11
R0547	0	0	4	0	1	0	0	1	0	0	0
R0548	49	0	323	0	4	47	0	40	5	7	93
R0549	0	0	25	0	0	1	0	9	0	0	1
R0550	4	1	83	0	0	13	0	5	0	4	6
R0551	0	0	2	0	0	0	0	1	0	0	2
R0552	44	0	360	0	2	24	0	25	8	8	222
R0553	0	0	4	0	0	0	0	0	0	0	0
R0554	51	0	281	1	1	28	0	20	4	11	48
R0555	8	3	313	0	1	25	0	13	4	8	22
