user_id	Labeling and mislabeling	Catastrophizing	Dichotomous Reasoning	Emotional Reasoning	Disqualifying the Positive	Magnification and Minimization	Mental Filtering	Mindreading	Fortune-telling	Overgeneralizing	Should statements
D0675	25	0	203	1	13	14	0	20	3	8	30
D0778	12	0	199	0	0	20	0	4	1	3	40
D0783	40	0	272	0	3	31	0	18	3	5	57
D0745	0	0	21	0	1	2	0	1	0	0	2
D0453	24	1	227	0	1	19	0	21	7	0	83
D1041	16	1	157	0	4	28	0	6	2	7	33
D0509	44	0	549	0	0	41	0	76	21	5	99
D0629	17	0	200	0	1	23	0	13	3	7	28
D0733	53	5	685	0	2	88	2	85	7	17	113
D0771	4	0	113	0	0	13	0	3	8	2	43
D0534	68	0	535	0	0	42	4	20	7	14	119
D0912	39	0	466	0	3	41	0	40	3	17	80
D0802	15	0	268	0	8	33	0	13	2	10	30
D0513	18	0	277	0	1	55	0	21	1	3	49
D1170	78	1	396	0	7	53	1	60	6	21	125
D0899	35	0	159	0	1	32	0	18	2	10	58
D0617	16	0	228	0	2	40	0	20	4	9	35
D0710	19	0	225	0	3	59	0	48	2	5	81
D1056	3	0	62	0	1	3	0	9	0	1	23
D0525	49	1	313	0	3	39	0	33	1	10	90
D1172	5	0	124	0	4	12	0	8	1	12	19
D0612	27	0	399	0	2	37	0	37	12	3	54
D0721	12	0	82	0	0	11	0	20	1	2	22
D0535	2	0	20	0	0	1	0	1	0	2	5
D0595	1	0	8	0	0	0	0	0	0	0	0
D1151	40	2	217	0	2	27	0	10	2	15	54
D0762	7	0	29	0	1	3	0	4	4	3	11
D1074	29	7	353	0	4	28	0	48	10	8	29
D1152	5	0	63	0	0	6	0	11	0	5	15
D1160	0	0	5	0	0	0	0	1	0	0	0
D1188	56	1	467	0	1	68	0	52	3	3	75
D0999	37	0	288	1	3	60	0	3	1	7	37
D0860	17	0	443	0	6	50	0	28	4	11	59
D0989	16	0	208	0	3	29	0	41	2	9	48
D1153	9	0	58	0	0	7	0	2	0	3	10
D1034	15	1	163	0	1	22	0	14	4	5	47
D1083	5	0	41	0	0	11	0	4	2	4	10
D0755	19	1	220	0	5	13	0	0	2	5	61
D0884	0	0	0	0	0	0	0	0	0	0	1
D1063	37	0	249	0	2	40	0	11	1	3	40
D0914	43	7	363	0	2	65	0	69	4	14	70
D0565	26	0	330	0	6	46	0	20	4	18	59
D1049	1	0	10	0	1	1	0	0	0	0	3
D0653	64	0	308	1	8	41	0	15	4	25	62
D0917	48	0	229	0	1	18	0	21	5	12	63
D0139	106	2	462	1	14	37	0	25	4	23	191
D0521	22	1	279	0	1	22	0	46	5	3	65
D0560	20	0	212	0	1	49	0	8	2	9	28
D0965	29	2	147	0	3	8	0	18	6	5	72
D0803	22	0	321	0	3	15	0	28	1	4	23
D0902	8	0	120	0	0	25	0	5	0	2	27
D0495	23	1	242	0	2	26	0	20	2	1	51
D0601	21	1	417	0	5	23	0	32	2	19	60
D1122	6	0	69	0	1	11	0	14	0	1	11
D1148	7	0	123	0	3	10	0	11	2	2	30
D0640	66	1	447	0	4	73	0	22	2	13	72
D1104	0	0	9	0	0	3	0	0	0	0	6
D0974	30	1	307	0	0	41	0	15	7	21	44
D0958	45	2	576	0	4	53	0	53	6	13	118
D0872	57	1	461	0	7	45	0	38	8	12	94
D0790	6	0	58	0	0	9	0	13	0	0	22
D0637	25	0	196	1	4	19	0	18	2	5	37
D0715	34	1	330	0	3	32	0	26	0	8	29
D0734	12	0	143	0	2	12	0	13	0	5	31
D0864	13	0	153	0	3	20	0	16	2	2	44
D0651	46	0	575	0	15	39	0	29	5	18	114
D0630	53	1	514	0	3	51	2	40	3	15	106
D1111	20	1	121	0	1	28	0	3	2	2	17
D0633	13	0	221	0	2	14	0	20	4	5	27
D0691	0	0	0	0	0	0	0	0	0	0	0
D0669	26	0	395	0	1	76	0	25	4	23	44
D0519	98	1	429	1	10	46	0	32	2	14	127
D0717	2	0	26	0	0	4	0	2	0	1	1
D0747	19	0	250	0	3	21	0	39	6	16	52
D1026	15	0	199	0	0	39	0	12	1	5	18
D0487	30	0	210	0	5	18	0	13	1	9	31
D0666	42	0	346	0	7	30	0	12	1	10	79
D1059	38	0	472	0	5	34	0	32	5	19	61
D0749	71	0	261	0	10	39	0	20	4	10	81
D1033	17	0	203	0	3	44	0	12	1	4	15
D0773	9	0	108	0	0	16	0	8	0	2	11
D0834	4	0	86	0	2	10	0	1	0	2	13
D1146	8	0	50	0	0	3	0	4	1	1	7
D0526	61	0	325	0	0	28	1	23	4	5	71
D0712	17	0	192	1	2	36	0	11	1	4	31
D0725	20	0	277	0	5	28	0	24	0	7	42
D0369	16	0	182	0	1	25	0	7	4	5	53
D0772	6	0	75	0	1	8	0	7	1	4	6
D0582	58	1	366	0	5	67	0	26	7	5	52
D1187	104	1	569	4	12	41	0	82	2	35	98
D0799	4	0	92	0	1	21	0	4	0	3	15
D0830	36	0	374	0	2	84	0	18	4	7	68
D0977	26	0	304	0	4	25	0	12	3	9	35
D0992	21	0	173	0	4	32	0	23	1	10	43
D0609	4	0	99	0	2	18	0	5	1	2	18
D1046	60	1	386	1	4	32	0	12	8	11	97
D0911	13	0	187	0	2	24	0	5	0	7	24
D0635	8	0	109	0	0	9	0	10	1	3	22
D0023	25	1	517	0	2	92	0	24	8	26	69
D0654	105	0	631	3	8	56	1	35	4	25	126
D0971	11	0	126	0	0	22	0	4	2	0	19
D0561	22	0	333	0	0	84	0	25	3	16	37
D1184	28	2	454	0	3	115	0	18	10	7	83
D1195	34	0	328	0	4	39	0	12	6	11	59
D0553	40	0	190	0	1	30	0	5	1	3	32
D1018	16	0	200	0	0	15	0	13	5	5	27
D0436	12	1	100	0	0	12	0	12	2	3	39
D1091	2	0	23	0	0	0	0	3	0	0	4
D0709	7	0	173	0	2	16	0	14	2	9	40
D0905	25	0	266	0	0	27	0	36	2	5	53
D0623	57	2	414	1	3	35	0	18	3	10	95
D0542	2	0	50	0	0	6	0	5	0	1	13
D0789	19	0	267	0	1	30	0	20	1	6	23
D0952	33	0	366	0	7	35	0	30	3	8	55
D0694	10	0	118	0	0	31	0	8	1	6	24
D1176	28	0	148	0	1	28	0	12	0	8	15
D0842	13	0	133	0	2	19	0	11	2	5	19
D0480	22	2	298	0	1	46	1	9	4	4	45
D1070	2	0	82	0	1	21	0	6	3	1	13
D1072	28	1	298	0	0	23	0	19	2	17	53
D0566	21	0	273	0	4	28	0	19	5	9	50
D1121	16	1	81	0	0	24	0	4	0	3	7
D0704	32	1	151	0	1	18	0	16	2	6	20
D1021	45	0	551	0	3	84	0	32	3	10	85
D0647	41	0	427	1	2	70	0	30	3	8	79
D1136	23	0	258	0	1	36	0	21	2	14	46
D0538	6	0	64	0	1	15	0	3	1	2	13
D1210	126	0	356	0	7	42	0	36	7	6	77
D0689	1	0	89	0	0	3	0	7	2	0	17
D0450	52	1	449	1	21	46	0	36	9	14	64
D0913	11	0	95	0	0	29	0	4	5	0	14
D0835	33	0	253	0	0	34	0	18	2	6	29
D0681	26	0	277	0	1	53	0	0	2	5	37
D0110	42	1	313	0	3	81	0	22	2	3	48
D1024	7	1	50	0	0	5	0	5	0	3	18
D0494	49	0	204	0	4	29	0	15	9	11	70
D1119	15	0	65	0	2	5	0	2	1	5	3
D0600	3	0	161	0	0	33	1	2	0	6	13
D0996	3	0	40	0	1	8	0	5	1	1	9
D0616	41	0	326	0	2	24	0	30	3	14	61
D0919	15	0	267	0	1	35	0	15	3	6	41
D0869	17	0	462	0	7	33	0	26	2	14	61
D0124	1	0	3	0	0	0	0	0	0	0	0
D1128	4	0	10	0	0	1	0	0	0	0	2
D0485	56	2	423	0	2	39	0	13	5	28	70
D0554	23	0	207	0	1	22	0	15	1	6	32
D1003	1	0	6	0	0	1	0	0	0	0	1
D0618	39	0	442	1	3	57	0	39	8	24	192
D1158	8	0	74	0	0	7	0	1	2	1	12
D0705	7	1	92	0	1	49	0	7	1	5	2
D0818	6	0	104	0	2	8	0	5	3	4	20
D0514	13	0	72	0	2	12	0	9	2	5	9
D1174	49	1	405	0	1	22	0	47	12	23	34
D0493	33	1	515	0	4	117	1	37	1	7	60
D0814	29	0	346	1	5	60	0	25	0	14	49
D0488	27	0	244	1	4	33	0	10	1	10	52
D0662	24	0	355	0	3	65	0	12	0	10	49
D0437	1	0	12	0	0	3	0	2	0	0	1
D0845	0	0	7	0	0	1	0	1	0	1	0
D0909	19	0	263	0	0	17	0	24	0	5	27
D0476	22	0	243	0	2	20	0	21	1	16	32
D1199	21	0	208	0	0	39	0	19	0	8	57
D1090	37	1	183	0	4	17	0	26	3	4	61
D0606	5	0	76	0	1	3	0	7	3	1	26
D1028	1	0	1	0	0	1	0	0	0	0	1
D0571	34	0	181	0	0	16	0	30	2	2	79
D1163	3	0	26	0	0	5	0	0	0	0	2
D0837	66	0	478	0	4	32	0	41	4	23	100
D0764	27	0	298	0	2	35	0	15	5	14	41
D0448	37	0	310	0	0	43	0	13	2	10	42
D0546	21	1	203	1	4	26	0	7	2	8	74
D0439	1	0	2	0	0	0	0	1	0	0	1
D0533	27	0	310	1	4	35	0	27	4	15	47
D0748	29	0	362	1	4	68	1	33	3	9	49
D0785	33	0	394	0	0	44	0	43	9	21	88
D0775	12	0	124	0	0	8	0	5	1	3	27
D1047	0	0	24	0	0	3	0	4	0	2	0
D1137	1	0	7	0	0	1	0	1	0	0	1
D0540	50	2	443	0	2	77	0	14	8	17	88
D0810	31	1	335	0	4	17	0	30	5	16	66
D0898	9	1	75	0	1	12	0	9	1	3	11
D0518	27	0	153	0	0	20	0	14	1	2	46
D0776	107	0	620	0	9	58	0	82	7	15	132
D0523	10	0	136	0	1	11	0	5	2	1	23
D0886	70	0	409	1	4	62	0	18	3	15	68
D0907	25	0	232	0	2	53	0	10	3	8	33
D0661	7	0	114	0	0	37	0	5	2	16	40
D0016	27	0	241	0	5	47	1	17	3	13	89
D1014	88	1	383	0	20	12	1	72	8	12	181
D0503	77	0	383	0	2	54	0	40	3	19	103
D1069	25	0	144	0	2	12	0	17	2	6	61
D0552	4	1	42	0	1	8	0	2	0	2	8
D1203	2	0	6	0	1	0	0	1	0	0	1
D0925	15	0	64	0	0	6	0	9	0	3	19
D0451	21	0	432	0	3	96	0	25	2	15	48
D0885	67	0	503	4	7	69	0	23	3	11	63
D0461	62	2	440	0	5	41	1	67	5	17	117
D0930	26	1	292	0	4	40	0	41	5	5	53
D1045	5	1	71	0	2	8	0	4	2	4	9
D0680	39	1	535	0	8	51	0	44	2	11	113
D0471	92	0	460	0	4	42	0	38	1	9	90
D0781	3	0	32	0	1	2	0	1	0	0	7
D1150	29	0	361	1	6	34	0	24	2	4	65
D1173	5	0	25	0	0	5	0	3	2	1	5
D0887	3	0	23	0	1	2	0	3	0	0	7
D0575	37	0	417	1	4	54	0	25	4	18	122
D0924	34	0	363	0	3	39	0	30	5	5	104
D1102	51	1	285	2	1	32	0	9	4	7	84
D0443	31	0	268	0	0	43	3	13	4	5	57
D0928	24	1	261	0	4	18	0	21	5	9	39
D0683	70	0	516	1	3	66	1	59	4	18	119
D1079	33	0	308	0	3	20	0	19	1	6	67
D0853	24	0	279	0	4	39	0	41	10	9	92
D1166	27	0	180	0	1	32	0	15	2	11	21
D0474	24	1	233	0	7	14	0	12	6	17	43
D0231	24	0	154	0	0	21	0	10	0	13	42
D1098	40	0	778	0	3	114	0	45	7	11	81
D0639	34	0	329	0	2	30	0	69	4	6	106
D0904	34	0	282	0	1	19	0	39	2	7	81
D0896	9	0	178	0	1	17	0	9	0	2	35
D1165	0	0	0	0	0	0	0	0	0	0	0
D0605	19	0	157	0	3	17	0	16	1	5	42
D0918	53	1	290	0	3	26	0	24	8	13	78
D0687	2	0	58	0	1	7	0	4	1	2	10
D0585	56	5	530	1	6	43	0	48	5	34	111
D0692	22	0	418	1	2	31	0	36	5	20	87
D0723	2	0	22	0	0	3	0	3	0	2	4
D1081	26	2	302	0	2	30	0	20	5	8	76
D0827	20	0	308	0	7	53	0	20	3	10	82
D1129	3	1	48	0	0	5	0	3	2	4	9
D0838	18	0	189	0	1	23	0	20	2	8	34
D1053	35	0	189	0	2	37	0	9	0	4	60
D1076	3	0	55	0	0	7	0	0	0	1	5
D0968	19	0	479	0	2	75	0	31	8	11	62
D0578	80	0	506	1	7	37	0	44	5	36	100
D0880	6	0	50	0	0	10	0	3	0	1	12
D0852	20	0	201	0	1	28	0	10	5	8	38
D0787	54	2	388	1	5	30	0	25	7	5	71
D1103	54	1	406	0	3	38	0	18	6	20	105
D1005	1	0	40	0	0	7	0	3	2	0	7
D0162	0	0	22	0	0	13	0	1	0	0	0
D1011	39	1	420	0	12	38	0	46	3	15	94
D0863	0	0	9	0	0	2	0	1	0	0	0
D0758	15	0	395	0	1	52	0	10	3	8	36
D1020	26	1	207	0	2	21	0	20	2	14	49
D0881	0	0	4	0	0	1	0	1	0	0	0
D0741	26	2	378	0	2	38	0	28	4	4	77
D0570	10	0	134	0	0	35	0	7	1	1	32
D0984	7	0	152	0	1	51	0	9	4	0	48
D0751	12	1	198	0	1	18	0	15	4	5	49
D0475	18	0	123	0	0	16	1	2	1	3	17
D0531	56	0	414	0	6	55	0	54	7	11	92
D0988	7	1	130	0	1	12	0	11	5	2	28
D0238	81	2	447	0	7	49	0	84	14	14	166
D0754	47	1	386	0	2	36	0	38	7	3	108
D0677	30	0	331	0	3	50	0	27	2	20	70
D0240	44	0	560	0	5	47	0	29	9	18	52
D1027	83	0	257	0	10	33	3	27	9	15	74
D0960	25	1	302	0	3	22	0	35	4	7	26
D1009	75	1	593	0	8	57	0	24	1	31	93
D0727	18	1	172	0	1	27	0	9	0	7	19
D1086	18	0	319	0	7	28	0	21	5	10	49
D0726	4	0	60	0	0	16	0	6	0	2	9
D1140	3	1	15	0	1	1	0	3	0	0	6
D0216	10	0	148	0	2	10	0	18	1	6	36
D1107	1	0	4	0	0	1	0	0	0	0	2
D0936	18	0	146	0	2	15	0	15	0	6	31
D0627	60	1	241	0	2	25	0	28	4	10	119
D1016	40	0	317	0	9	19	0	20	3	15	91
D1112	23	0	258	0	0	72	0	15	1	5	25
D0851	12	1	177	0	0	27	0	16	0	5	26
D1071	1	0	22	0	0	2	0	0	0	0	0
D0459	29	1	370	0	5	36	0	16	1	4	59
D0642	11	0	248	0	3	19	0	8	1	5	30
D1080	0	0	6	0	0	1	0	0	0	0	1
D1050	30	1	416	0	2	32	0	44	7	23	62
D1178	0	0	5	0	0	1	0	0	0	0	1
D1097	10	0	67	0	1	4	0	2	0	2	10
D0678	35	1	315	0	8	31	0	21	6	3	48
D0603	21	0	284	0	5	36	0	15	3	14	47
D0498	12	0	245	0	15	26	0	12	3	2	34
D0572	39	0	662	0	2	69	1	26	5	2	109
D0607	16	0	245	0	3	30	0	48	2	7	27
D0457	24	0	159	0	1	8	0	65	4	5	104
D0528	34	0	234	0	1	40	1	22	3	11	55
D0586	45	1	604	0	2	52	0	20	0	13	95
D1025	33	0	200	0	1	30	0	18	1	9	43
D0342	96	3	704	0	5	67	0	93	15	18	171
D0109	61	2	463	1	2	36	0	60	18	18	154
D0920	24	0	220	0	2	45	0	16	2	9	46
D1204	1	0	4	0	0	0	0	0	0	1	2
D0743	40	0	293	3	2	30	0	7	1	19	57
D0445	28	0	237	0	1	43	0	3	1	16	20
D0456	68	0	539	0	3	67	0	42	5	19	90
D0131	9	0	186	0	1	11	0	11	0	6	25
D1052	22	2	460	1	6	39	0	31	1	4	76
D0732	142	1	706	1	18	74	0	51	6	27	149
D1066	42	0	209	2	2	22	0	37	7	14	59
D1159	49	0	285	0	4	19	1	47	3	15	67
D1004	18	1	130	0	2	8	0	12	2	5	27
D0482	11	0	85	0	0	14	0	2	0	1	6
D1013	24	1	346	0	1	31	0	35	3	16	71
D1162	31	1	252	0	5	36	0	15	14	8	106
D1058	47	0	313	0	3	24	0	10	8	8	134
D0658	48	0	290	0	6	35	0	20	2	5	61
D0889	24	0	214	0	2	44	0	14	5	5	31
D0998	7	0	39	0	1	9	0	3	0	2	3
D0731	1	0	35	0	1	1	0	6	2	0	14
D0812	7	1	190	0	0	15	0	12	5	15	14
D0840	53	0	336	0	6	32	0	21	13	13	81
D0574	16	0	190	0	1	29	0	7	1	5	51
D0577	61	2	645	1	5	93	0	35	5	13	110
D0460	69	0	581	2	10	140	0	35	3	13	118
D0581	46	1	225	0	2	27	0	7	6	7	60
D0066	48	0	336	0	0	16	1	28	4	16	43
D0679	102	0	572	1	6	54	0	38	15	34	133
D0670	11	0	173	0	0	49	0	10	0	5	6
D0619	2	0	14	0	0	10	0	1	0	0	15
D0592	27	0	72	0	0	9	0	13	1	1	37
D0739	7	0	175	1	1	23	0	8	0	3	20
D1001	4	1	35	0	0	5	0	3	0	0	9
D1131	14	1	217	1	5	18	0	14	1	13	33
D1108	3	0	28	0	2	3	0	3	0	1	5
D0688	108	0	624	0	5	95	1	73	5	18	131
D0545	26	1	231	0	2	15	0	1	2	5	33
D0929	11	0	153	0	1	25	0	23	2	2	58
D0544	46	5	527	0	8	75	0	11	5	41	78
D0891	33	0	341	0	4	38	0	18	4	14	36
D1015	9	0	85	0	0	10	0	3	1	0	42
D0478	24	0	249	0	0	32	0	16	3	11	36
D0855	21	0	348	0	1	34	1	20	2	22	41
D0967	16	0	100	0	3	6	0	7	3	9	14
D0708	21	0	443	0	1	248	0	42	4	2	29
D0019	32	1	442	0	2	48	0	33	6	10	77
D1143	60	0	311	0	1	35	0	30	5	5	154
D0563	14	1	296	1	1	38	0	31	4	6	67
D1181	26	1	177	0	1	28	0	21	8	7	33
D1139	33	1	145	0	6	29	0	16	6	2	20
D0455	24	1	190	0	3	42	0	16	1	12	30
D0621	11	0	150	0	2	31	0	18	1	1	16
D0944	51	1	369	0	8	32	1	35	2	7	100
D0779	56	4	518	0	12	40	0	10	6	10	64
D0284	14	2	399	0	3	55	0	32	8	20	63
D0449	0	0	4	0	0	1	0	0	0	0	0
D0906	18	0	158	0	3	24	0	10	4	4	42
D0388	30	3	269	0	4	21	1	40	10	6	52
D0685	4	0	179	0	2	23	0	3	2	10	20
D1105	28	1	406	0	3	52	0	23	1	17	55
D1075	21	0	182	0	1	18	0	10	1	8	43
D1123	46	3	508	0	2	66	0	34	2	13	143
D0656	16	0	217	0	2	57	0	15	2	8	55
D0934	11	1	191	1	2	26	0	6	6	5	52
D0949	8	1	154	1	1	18	0	15	5	6	29
D0583	13	1	259	1	2	31	0	12	3	12	41
D1179	3	0	48	0	3	7	0	2	1	0	7
D0706	2	0	67	0	4	6	0	3	2	1	13
D0962	80	1	645	0	10	62	1	37	13	25	90
D0634	60	1	574	0	14	51	0	55	4	23	86
D0826	6	0	111	0	2	16	0	13	0	3	24
D1022	6	0	52	0	1	6	0	1	2	1	5
D0980	74	0	561	0	10	83	0	47	7	13	187
D1144	3	0	48	0	1	4	0	0	0	1	3
D1120	14	0	124	0	4	10	0	13	1	1	18
D0950	16	1	181	0	2	38	0	9	2	6	35
D0458	80	4	462	0	11	65	0	30	6	9	105
D0650	75	0	293	0	4	20	1	14	1	11	72
D0501	46	1	405	0	8	41	0	37	8	14	55
D0613	27	0	284	0	2	45	0	18	5	2	44
D0536	15	0	161	0	3	19	0	15	3	6	14
D0839	29	0	210	0	3	29	1	6	1	6	44
D0808	5	0	71	0	2	7	0	6	1	2	9
D0908	12	0	165	0	1	29	0	57	2	3	34
D0564	46	0	313	0	7	44	0	14	2	15	70
D0955	29	0	206	0	7	15	0	17	3	9	33
D0982	2	0	37	0	0	6	0	0	1	0	4
D1116	1	0	12	0	1	0	0	0	1	1	4
D1099	0	0	46	0	0	3	0	1	0	1	5
D0894	54	0	385	0	7	45	0	49	7	10	74
D0819	8	0	120	0	3	4	0	11	6	3	28
D0942	23	1	326	0	2	65	0	14	3	1	50
D0486	15	1	272	0	0	57	0	16	1	11	36
D0806	36	0	435	0	6	33	0	33	4	22	102
D0811	5	0	104	0	2	25	0	9	4	5	38
D0191	34	0	561	0	1	92	0	85	3	17	50
D0537	33	0	262	0	2	45	0	10	1	10	35
D0786	3	0	53	0	1	3	0	1	0	0	7
D0822	12	1	262	0	1	12	0	22	7	2	28
D0547	188	3	821	0	10	106	4	213	20	40	380
D0520	40	0	313	0	2	37	0	21	1	6	48
D0682	12	0	134	0	1	18	0	9	1	3	15
D0859	24	0	218	0	1	40	0	11	2	6	52
D0604	32	2	383	0	5	62	1	27	9	19	105
D0489	17	0	183	0	1	24	0	27	3	1	42
D0508	20	1	188	0	0	38	0	23	1	6	40
D1191	30	0	174	0	3	6	1	13	0	6	36
D0504	1	1	108	0	2	39	0	2	0	3	4
D0502	48	1	292	0	7	25	0	15	13	8	90
D0671	23	0	245	0	2	52	0	20	2	9	31
D1142	8	0	74	0	2	8	0	5	0	3	9
D0761	17	0	109	0	0	15	0	9	0	2	46
D0667	4	0	16	0	0	3	0	2	0	1	3
D0991	36	0	245	0	3	36	0	24	6	4	102
D0316	11	0	150	0	1	14	0	4	2	3	24
D0367	5	0	82	0	0	16	0	3	1	2	8
D0532	5	0	63	0	0	10	0	2	0	0	17
D1088	13	0	126	0	0	14	0	27	3	3	19
D0809	49	2	314	0	9	32	0	55	13	5	119
D0888	14	2	137	0	1	10	0	13	1	3	17
D1044	22	0	223	0	1	25	0	10	2	9	18
D0610	28	0	311	0	2	48	0	11	3	8	71
D0976	11	0	128	1	0	12	0	9	1	3	22
D0903	20	1	82	0	0	4	0	2	0	3	16
D0943	79	0	469	0	13	58	0	39	11	15	104
D0468	26	2	552	0	0	72	0	54	5	9	70
D1065	2	0	7	0	1	0	0	3	0	1	0
D1019	9	0	70	0	0	10	0	6	1	5	22
D0874	29	2	306	1	7	43	0	24	3	21	165
D0963	31	0	253	0	1	32	0	17	3	8	26
D0854	28	2	454	0	1	56	0	37	7	7	87
D0499	75	0	351	3	1	53	0	32	3	21	75
D0961	31	2	279	0	4	38	0	24	2	8	79
D1194	2	1	26	0	0	3	0	4	0	1	8
D0668	0	0	1	0	0	1	0	0	0	0	0
D1202	0	0	4	0	0	0	0	0	0	0	0
D0746	14	0	169	0	0	18	0	11	1	1	21
D0941	26	0	564	2	1	88	0	8	5	23	106
D0644	15	0	268	0	1	38	0	31	6	5	37
D1190	4	0	17	0	0	5	0	0	0	0	5
D0718	33	0	378	1	13	69	0	14	4	5	48
D0590	17	0	252	1	2	28	0	23	3	11	43
D0589	68	0	204	0	3	22	0	15	3	4	47
D0106	62	1	870	1	5	67	0	56	13	29	104
D0959	23	1	355	1	4	42	0	38	5	4	43
D0549	18	0	159	0	3	15	0	12	1	4	30
D0515	36	0	300	0	0	44	0	19	0	26	34
D0483	24	0	204	0	4	38	2	18	8	9	51
D0646	72	1	564	0	10	40	0	97	9	18	113
D0516	89	4	814	0	5	57	0	118	23	15	230
D1031	10	0	177	0	0	22	0	11	1	6	24
D1186	0	0	7	0	0	1	0	0	0	0	0
D0945	11	0	276	0	3	13	0	16	2	4	44
D0823	21	1	237	0	4	26	0	18	2	1	41
D0788	4	0	68	0	0	6	0	2	1	1	11
D0817	66	0	460	0	7	34	1	39	11	7	130
D0938	9	0	84	0	0	21	0	4	0	2	13
D0994	9	0	84	0	1	2	0	3	0	2	28
D0594	36	3	267	0	2	17	0	26	7	11	53
D0876	6	0	62	0	0	8	0	3	0	7	16
D1201	29	1	291	1	4	22	0	12	2	22	42
D0901	31	0	157	0	5	22	0	15	2	6	26
D0892	7	0	61	0	1	7	0	9	1	5	21
D1064	122	1	727	1	9	92	1	26	15	13	89
D0588	17	0	218	0	1	14	0	24	1	0	19
D0648	34	2	145	0	2	9	0	7	3	1	40
D0584	24	0	187	0	1	25	0	48	3	2	59
D0813	55	0	395	1	4	38	0	31	4	8	93
D0221	25	0	135	0	0	13	0	4	4	3	43
D0663	16	0	211	0	1	25	0	11	3	2	36
D0951	4	0	52	0	0	10	1	7	0	3	17
D0947	6	0	71	0	1	6	0	7	0	3	32
D0983	16	0	272	0	3	29	0	19	1	13	35
D0557	17	0	206	0	3	32	0	27	3	4	30
D0469	15	0	117	0	2	10	0	8	2	4	18
D0598	6	0	111	0	0	7	0	11	1	3	10
D0218	49	1	606	1	2	50	0	43	5	17	78
D0796	52	0	445	1	2	59	0	42	6	6	51
D0543	40	0	271	0	5	20	0	24	7	10	62
D0981	0	0	9	0	0	0	0	0	0	0	3
D0940	16	0	330	0	2	25	0	18	6	5	34
D0428	1	0	7	0	3	1	0	0	2	0	0
D0559	17	0	228	0	1	57	1	24	2	3	44
D0832	8	0	61	0	1	6	0	5	1	4	12
D0910	10	0	158	0	2	22	0	17	0	10	32
D1175	45	0	223	0	4	52	0	20	3	8	39
D0707	63	1	599	0	2	70	0	23	14	32	98
D1082	32	2	248	0	1	23	0	30	2	7	49
D0597	4	0	102	0	1	26	0	9	2	4	17
D0507	61	0	479	0	11	60	0	48	7	12	120
D1117	5	0	43	0	0	5	0	6	1	1	22
D0820	10	0	145	0	2	10	1	25	4	0	35
D0757	55	0	416	1	3	95	0	23	9	22	104
D0804	89	2	598	0	5	120	0	23	7	23	96
D1040	35	0	374	0	6	25	1	18	3	13	52
D1185	16	0	100	1	0	15	0	9	3	4	29
D0470	23	0	461	0	3	35	0	19	9	29	54
D1093	5	0	58	0	0	4	0	5	0	1	8
D1077	10	0	165	0	0	7	0	12	4	7	35
D0862	12	1	176	0	2	24	0	17	1	7	40
D0815	30	0	270	0	5	15	1	15	6	11	68
D0481	61	0	443	0	13	48	0	44	2	18	86
D1193	31	1	428	1	3	49	0	28	2	9	53
D1067	127	1	361	0	5	24	1	57	10	33	112
