user_id	Labeling and mislabeling	Catastrophizing	Dichotomous Reasoning	Emotional Reasoning	Disqualifying the Positive	Magnification and Minimization	Mental Filtering	Mindreading	Fortune-telling	Overgeneralizing	Personalizing	Should statements
D1072	32	1	298	0	0	23	0	19	5	19	5	53
D0566	35	0	273	2	4	28	0	19	12	10	11	50
D1121	20	1	81	0	0	24	0	4	1	4	10	7
D0704	41	1	151	0	1	18	0	16	4	7	4	20
D1021	79	0	551	1	3	84	0	32	11	24	47	85
D0647	48	0	427	3	2	70	0	30	6	9	11	79
D1136	32	0	258	0	1	36	1	21	2	19	16	46
D0538	12	0	64	1	1	15	0	3	4	4	7	13
D1210	148	0	356	0	7	42	0	36	9	8	7	77
D0689	1	0	89	0	0	3	0	7	2	2	4	17
D0450	85	1	449	6	21	46	2	36	10	20	58	64
D0913	17	0	95	1	0	29	0	4	6	0	4	14
D0835	39	0	253	0	0	34	0	18	7	8	6	29
D0681	28	0	277	0	1	53	0	0	2	5	6	37
D0110	49	1	313	0	3	81	0	22	2	5	1	48
D1024	7	1	50	0	0	5	0	5	1	3	0	18
D0494	52	0	204	0	4	29	0	15	12	11	7	70
D1119	23	0	65	0	2	5	0	2	1	6	4	3
D0600	7	0	161	0	0	33	1	2	1	8	7	13
D0996	3	0	40	0	1	8	0	5	1	2	2	9
D0616	53	0	326	1	2	24	0	30	5	16	2	61
D0919	26	0	267	1	1	35	0	15	3	18	34	41
D0869	36	0	462	0	7	33	2	26	9	29	50	61
D0124	2	0	3	0	0	0	0	0	0	0	2	0
D1128	4	0	10	0	0	1	1	0	0	0	0	2
D0485	81	2	423	2	2	39	0	13	8	42	12	70
D0554	34	0	207	0	1	22	0	15	4	9	12	32
D1003	2	0	6	0	0	1	0	0	0	0	0	1
D0618	176	0	442	3	3	57	0	39	8	45	43	192
D1158	8	0	74	2	0	7	1	1	2	1	12	12
D0705	10	1	92	0	1	49	0	7	1	5	1	2
D0818	14	0	104	1	2	8	0	5	3	5	3	20
D0514	18	0	72	0	2	12	0	9	2	6	10	9
D1174	61	1	405	0	1	22	1	47	15	33	27	34
D0493	42	1	515	2	4	117	2	37	7	11	69	60
D0814	32	0	346	2	5	60	0	25	3	21	9	49
D0488	47	0	244	1	4	33	0	10	1	19	26	52
D0662	45	0	355	5	3	65	0	12	1	18	42	49
D0437	1	0	12	0	0	3	0	2	0	0	0	1
D0845	0	0	7	0	0	1	0	1	0	1	0	0
D0909	25	0	263	0	0	17	0	24	2	7	5	27
D0476	33	0	243	0	2	20	0	21	6	19	13	32
D1199	30	0	208	0	0	39	0	19	2	9	7	57
D1090	48	1	183	0	4	17	0	26	5	4	4	61
D0606	8	0	76	0	1	3	0	7	4	2	2	26
D1028	1	0	1	0	0	1	0	0	0	0	0	1
D0571	44	0	181	3	0	16	1	30	5	2	11	79
D1163	4	0	26	0	0	5	0	0	0	1	2	2
D0837	85	0	478	2	4	32	4	41	9	32	31	100
D0764	52	0	298	5	2	35	1	15	10	23	28	41
D0448	45	0	310	0	0	43	0	13	2	16	7	42
D0546	27	1	203	2	4	26	0	7	5	10	24	74
D0439	3	0	2	0	0	0	0	1	0	0	1	1
D0533	35	0	310	3	4	35	1	27	8	20	23	47
D0748	45	0	362	1	4	68	1	33	8	13	24	49
D0785	51	0	394	3	0	44	4	43	15	27	21	88
D0775	17	0	124	0	0	8	0	5	2	4	4	27
D1047	2	0	24	0	0	3	0	4	0	2	5	0
D1137	1	0	7	0	0	1	0	1	0	0	1	1
D0540	73	2	443	0	2	77	1	14	11	20	45	88
D0810	41	1	335	0	4	17	0	30	5	18	19	66
D0898	18	1	75	0	1	12	0	9	1	3	1	11
D0518	35	0	153	0	0	20	0	14	2	5	7	46
D0776	175	0	620	1	9	58	0	82	16	36	33	132
D0523	13	0	136	0	1	11	0	5	3	3	11	23
D0886	89	0	409	1	4	62	0	18	7	22	17	68
D0907	31	0	232	0	2	53	0	10	4	9	8	33
D0661	7	0	114	0	0	37	0	5	3	16	0	40
D0016	34	0	241	0	5	47	1	17	8	15	13	89
D1014	100	1	383	0	20	12	1	72	8	12	4	181
D0503	92	0	383	0	2	54	0	40	6	25	23	103
D1069	37	0	144	4	2	12	0	17	2	9	10	61
D0552	6	1	42	0	1	8	0	2	0	5	1	8
D1203	2	0	6	0	1	0	0	1	0	0	1	1
D0925	21	0	64	0	0	6	0	9	0	5	5	19
D0451	30	0	432	0	3	96	0	25	3	23	29	48
D0885	73	0	503	6	7	69	0	23	4	15	19	63
D0461	84	2	440	2	5	41	1	67	8	21	26	117
D0930	39	1	292	0	4	40	0	41	10	6	22	53
D1045	5	1	71	0	2	8	0	4	2	4	1	9
D0680	59	1	535	1	8	51	2	44	3	28	29	113
D0471	119	0	460	2	4	42	0	38	2	18	17	90
D0781	5	0	32	0	1	2	0	1	0	0	0	7
D1150	49	0	361	2	6	34	1	24	4	7	9	65
D1173	5	0	25	0	0	5	0	3	2	1	1	5
D0887	3	0	23	0	1	2	0	3	0	1	1	7
D0575	57	0	417	2	4	54	0	25	12	37	32	122
D0924	50	0	363	0	3	39	1	30	11	14	23	104
D1102	66	1	285	3	1	32	0	9	8	12	14	84
D0443	37	0	268	0	0	43	3	13	6	9	9	57
D0928	41	1	261	0	4	18	0	21	8	20	8	39
D0683	92	0	516	2	3	66	2	59	5	22	28	119
D1079	43	0	308	0	3	20	0	19	3	9	18	67
D0853	31	0	279	0	4	39	0	41	15	10	6	92
D1166	32	0	180	0	1	32	0	15	3	12	3	21
D0474	38	1	233	0	7	14	0	12	14	25	32	43
D0231	36	0	154	0	0	21	1	10	2	17	17	42
D1098	57	0	778	0	3	114	1	45	13	19	29	81
D0639	39	0	329	0	2	30	0	69	4	8	10	106
D0904	60	0	282	0	1	19	0	39	4	13	25	81
D0896	13	0	178	0	1	17	0	9	0	4	1	35
D1165	0	0	0	0	0	0	0	0	0	0	0	0
D0605	27	0	157	0	3	17	0	16	1	6	1	42
D0918	63	1	290	0	3	26	2	24	14	13	8	78
D0687	3	0	58	0	1	7	0	4	1	2	1	10
D0585	79	5	530	5	6	43	1	48	7	38	26	111
D0692	38	0	418	1	2	31	0	36	14	28	9	87
D0723	4	0	22	0	0	3	0	3	0	2	0	4
D1081	59	2	302	1	2	30	1	20	10	9	68	76
D0827	31	0	308	2	7	53	0	20	5	17	46	82
D1129	6	1	48	0	0	5	0	3	4	7	7	9
D0838	18	0	189	0	1	23	0	20	2	8	4	34
D1053	41	0	189	0	2	37	0	9	3	7	6	60
D1076	6	0	55	0	0	7	0	0	0	3	1	5
D0968	39	0	479	0	2	75	0	31	12	17	31	62
D0578	123	0	506	6	7	37	0	44	17	43	21	100
D0880	8	0	50	0	0	10	0	3	0	1	3	12
D0852	22	0	201	0	1	28	1	10	6	19	2	38
D0787	77	2	388	2	5	30	1	25	15	6	28	71
D1103	67	1	406	1	3	38	0	18	10	35	29	105
D1005	2	0	40	0	0	7	0	3	2	1	2	7
D0162	1	0	22	0	0	13	0	1	0	0	1	0
D1011	59	1	420	5	12	38	0	46	9	20	46	94
D0863	2	0	9	0	0	2	0	1	0	0	0	0
D0758	39	0	395	0	1	52	0	10	7	11	12	36
D1020	42	1	207	0	2	21	2	20	5	16	5	49
D0881	1	0	4	0	0	1	0	1	0	0	0	0
D0741	47	2	378	0	2	38	1	28	14	9	19	77
D0570	16	0	134	0	0	35	0	7	1	4	8	32
D0984	10	0	152	0	1	51	0	9	6	1	3	48
D0751	29	1	198	0	1	18	0	15	11	18	29	49
D0475	23	0	123	0	0	16	2	2	3	4	3	17
D0531	69	0	414	1	6	55	1	54	9	16	13	92
D0988	17	1	130	1	1	12	0	11	6	3	8	28
D0238	96	2	447	0	7	49	1	84	20	18	10	166
D0754	66	1	386	0	2	36	1	38	10	7	12	108
D0677	40	0	331	0	3	50	0	27	6	25	9	70
D0240	68	0	560	3	5	47	0	29	23	36	14	52
D1027	99	0	257	0	10	33	3	27	10	15	9	74
D0960	29	1	302	0	3	22	0	35	5	13	9	26
D1009	122	1	593	2	8	57	2	24	12	56	32	93
D0727	23	1	172	2	1	27	0	9	1	8	7	19
D1086	27	0	319	0	7	28	1	21	8	11	8	49
D0726	10	0	60	2	0	16	0	6	1	3	3	9
D1140	3	1	15	0	1	1	0	3	0	2	1	6
D0216	22	0	148	0	2	10	0	18	2	9	32	36
D1107	1	0	4	0	0	1	0	0	0	0	0	2
D0936	32	0	146	0	2	15	0	15	1	12	22	31
D0627	73	1	241	0	2	25	0	28	5	12	4	119
D1016	57	0	317	0	9	19	0	20	12	20	38	91
D1112	28	0	258	0	0	72	0	15	2	8	23	25
D0851	19	1	177	0	0	27	0	16	1	8	10	26
D1071	2	0	22	0	0	2	0	0	1	0	0	0
D0459	43	1	370	0	5	36	1	16	4	9	7	59
D0642	20	0	248	0	3	19	0	8	4	10	3	30
D1080	0	0	6	0	0	1	0	0	0	0	0	1
D1050	54	1	416	0	2	32	1	44	14	30	8	62
D1178	0	0	5	0	0	1	0	0	0	0	0	1
D1097	13	0	67	0	1	4	0	2	0	2	1	10
D0678	50	1	315	1	8	31	0	21	8	7	34	48
D0603	29	0	284	1	5	36	0	15	3	17	32	47
D0498	13	0	245	1	15	26	0	12	6	6	12	34
D0572	68	0	662	0	2	69	2	26	6	4	35	109
D0607	25	0	245	1	3	30	0	48	2	13	15	27
D0457	35	0	159	1	1	8	0	65	8	5	13	104
D0528	47	0	234	1	1	40	1	22	5	13	15	55
D0586	56	1	604	0	2	52	0	20	5	28	30	95
D1025	48	0	200	1	1	30	0	18	5	17	14	43
D0342	145	3	704	6	5	67	0	93	20	22	43	171
D0109	71	2	463	1	2	36	0	60	32	21	14	154
D0920	31	0	220	1	2	45	0	16	6	16	10	46
D1204	1	0	4	0	0	0	0	0	0	2	0	2
D0743	53	0	293	4	2	30	0	7	4	24	21	57
D0445	32	0	237	0	1	43	0	3	2	18	7	20
D0456	94	0	539	2	3	67	1	42	7	21	22	90
D0131	15	0	186	0	1	11	0	11	2	11	9	25
D1052	38	2	460	2	6	39	0	31	4	11	40	76
D0732	195	1	706	3	18	74	0	51	11	46	84	149
D1066	46	0	209	2	2	22	0	37	18	18	30	59
D1159	52	0	285	0	4	19	2	47	3	18	6	67
D1004	27	1	130	0	2	8	0	12	4	8	24	27
D0482	17	0	85	1	0	14	0	2	1	3	2	6
D1013	37	1	346	0	1	31	0	35	6	18	9	71
D1162	44	1	252	1	5	36	0	15	16	15	2	106
D1058	69	0	313	6	3	24	0	10	11	12	46	134
D0658	67	0	290	0	6	35	0	20	3	10	10	61
D0889	45	0	214	0	2	44	0	14	9	10	26	31
D0998	11	0	39	0	1	9	0	3	0	3	4	3
D0731	2	0	35	0	1	1	0	6	3	0	0	14
D0812	14	1	190	0	0	15	0	12	6	18	3	14
D0840	78	0	336	0	6	32	0	21	22	22	7	81
D0574	21	0	190	0	1	29	0	7	2	14	13	51
D0577	72	2	645	1	5	93	0	35	12	15	10	110
D0460	81	0	581	2	10	140	0	35	4	14	10	118
D0581	60	1	225	0	2	27	0	7	10	9	3	60
D0066	52	0	336	0	0	16	1	28	4	18	0	43
D0679	133	0	572	1	6	54	0	38	21	51	15	133
D0670	15	0	173	0	0	49	0	10	2	8	7	6
D0619	3	0	14	0	0	10	0	1	0	0	0	15
D0592	33	0	72	0	0	9	0	13	1	1	4	37
D0739	12	0	175	1	1	23	0	8	0	6	18	20
D1001	5	1	35	1	0	5	0	3	0	0	5	9
D1131	31	1	217	1	5	18	0	14	2	16	17	33
D1108	3	0	28	0	2	3	0	3	1	1	1	5
D0688	134	0	624	2	5	95	1	73	9	26	37	131
D0545	37	1	231	0	2	15	0	1	4	13	7	33
D0929	22	0	153	0	1	25	0	23	5	3	7	58
D0544	64	5	527	10	8	75	0	11	8	57	86	78
D0891	41	0	341	0	4	38	0	18	5	14	10	36
D1015	9	0	85	0	0	10	0	3	1	0	1	42
D0478	28	0	249	0	0	32	1	16	5	14	8	36
D0855	43	0	348	0	1	34	1	20	5	26	26	41
D0967	18	0	100	0	3	6	0	7	3	9	4	14
D0708	21	0	443	0	1	248	0	42	5	3	1	29
D0019	60	1	442	1	2	48	0	33	12	21	20	77
D1143	68	0	311	0	1	35	0	30	7	7	1	154
D0563	36	1	296	2	1	38	0	31	9	15	26	67
D1181	32	1	177	1	1	28	0	21	17	11	17	33
D1139	46	1	145	0	6	29	0	16	8	3	6	20
D0455	30	1	190	0	3	42	0	16	2	13	14	30
D0621	14	0	150	0	2	31	0	18	5	4	5	16
D0944	62	1	369	0	8	32	1	35	2	9	22	100
D0779	84	4	518	2	12	40	0	10	8	25	22	64
D0284	31	2	399	0	3	55	0	32	13	30	52	63
D0449	0	0	4	0	0	1	0	0	0	0	1	0
D0906	35	0	158	1	3	24	0	10	6	11	20	42
D0388	44	3	269	0	4	21	1	40	20	12	16	52
D0685	14	0	179	1	2	23	0	3	7	12	10	20
D1105	42	1	406	1	3	52	0	23	7	21	25	55
D1075	25	0	182	0	1	18	0	10	3	9	8	43
D1123	159	3	508	0	2	66	0	34	5	23	48	143
D0656	20	0	217	2	2	57	0	15	5	9	32	55
D0934	13	1	191	3	2	26	0	6	9	7	12	52
D0949	15	1	154	2	1	18	0	15	5	8	3	29
D0583	23	1	259	1	2	31	0	12	6	19	18	41
D1179	6	0	48	0	3	7	0	2	2	0	3	7
D0706	4	0	67	0	4	6	0	3	3	1	11	13
D0962	136	1	645	0	10	62	2	37	21	31	74	90
D0634	85	1	574	3	14	51	0	55	12	24	21	86
D0826	14	0	111	1	2	16	0	13	2	6	16	24
D1022	7	0	52	0	1	6	0	1	4	2	5	5
D0980	97	0	561	0	10	83	1	47	9	18	7	187
D1144	5	0	48	1	1	4	0	0	0	4	2	3
D1120	17	0	124	2	4	10	0	13	1	3	23	18
D0950	22	1	181	1	2	38	0	9	5	11	20	35
D0458	105	4	462	1	11	65	0	30	10	16	24	105
D0650	105	0	293	0	4	20	1	14	3	16	12	72
D0501	62	1	405	3	8	41	0	37	10	22	15	55
D0613	40	0	284	0	2	45	0	18	8	4	16	44
D0536	20	0	161	1	3	19	0	15	5	7	13	14
D0839	33	0	210	1	3	29	1	6	1	8	9	44
D0808	8	0	71	0	2	7	0	6	2	2	5	9
D0908	13	0	165	0	1	29	0	57	3	3	2	34
D0564	59	0	313	0	7	44	1	14	7	24	15	70
D0955	36	0	206	0	7	15	0	17	5	12	36	33
D0982	3	0	37	0	0	6	0	0	2	0	3	4
D1116	1	0	12	0	1	0	0	0	1	2	1	4
D1099	0	0	46	1	0	3	0	1	0	3	1	5
D0894	66	0	385	1	7	45	0	49	7	12	9	74
D0819	8	0	120	0	3	4	1	11	9	3	5	28
D0942	31	1	326	0	2	65	1	14	4	2	14	50
D0486	28	1	272	0	0	57	0	16	1	14	8	36
D0806	51	0	435	2	6	33	1	33	6	32	25	102
D0811	9	0	104	0	2	25	1	9	5	19	9	38
D0191	47	0	561	0	1	92	0	85	5	104	24	50
D0537	38	0	262	2	2	45	0	10	2	13	16	35
D0786	7	0	53	0	1	3	0	1	0	3	3	7
D0822	17	1	262	1	1	12	1	22	11	4	7	28
D0547	212	3	821	1	10	106	4	213	22	44	16	380
D0520	47	0	313	3	2	37	0	21	3	21	11	48
D0682	20	0	134	0	1	18	0	9	2	3	5	15
D0859	33	0	218	0	1	40	0	11	5	11	7	52
D0604	61	2	383	1	5	62	1	27	21	20	76	105
D0489	30	0	183	0	1	24	2	27	5	4	14	42
D0508	23	1	188	0	0	38	0	23	1	7	2	40
D1191	37	0	174	1	3	6	1	13	0	14	29	36
D0504	2	1	108	0	2	39	0	2	0	4	2	4
D0502	53	1	292	0	7	25	0	15	13	11	1	90
D0671	40	0	245	1	2	52	0	20	8	15	21	31
D1142	16	0	74	0	2	8	0	5	0	5	4	9
D0761	20	0	109	0	0	15	0	9	0	3	1	46
D0667	5	0	16	0	0	3	0	2	1	1	1	3
D0991	45	0	245	1	3	36	1	24	7	6	10	102
D0316	17	0	150	0	1	14	0	4	4	8	14	24
D0367	7	0	82	0	0	16	0	3	3	3	5	8
D0532	12	0	63	0	0	10	0	2	1	0	5	17
D1088	13	0	126	0	0	14	0	27	4	3	4	19
D0809	59	2	314	0	9	32	0	55	13	7	3	119
D0888	20	2	137	0	1	10	0	13	3	7	5	17
D1044	27	0	223	0	1	25	0	10	7	13	17	18
D0610	38	0	311	0	2	48	0	11	4	10	10	71
D0976	14	0	128	2	0	12	0	9	6	4	15	22
D0903	24	1	82	0	0	4	0	2	0	3	0	16
D0943	93	0	469	4	13	58	0	39	17	18	15	104
D0468	33	2	552	0	0	72	0	54	6	10	6	70
D1065	2	0	7	0	1	0	0	3	0	1	0	0
D1019	11	0	70	0	0	10	0	6	3	5	1	22
D0874	35	2	306	1	7	43	1	24	13	38	33	165
D0963	40	0	253	2	1	32	0	17	5	11	13	26
D0854	43	2	454	0	1	56	1	37	18	15	24	87
D0499	87	0	351	4	1	53	0	32	10	26	28	75
D0961	42	2	279	0	4	38	0	24	4	11	5	79
D1194	4	1	26	0	0	3	0	4	0	1	1	8
D0668	0	0	1	0	0	1	0	0	0	0	0	0
D1202	1	0	4	0	0	0	0	0	0	1	0	0
D0746	23	0	169	0	0	18	0	11	2	4	5	21
D0941	47	0	564	4	1	88	0	8	12	29	39	106
D0644	24	0	268	0	1	38	0	31	8	9	5	37
D1190	4	0	17	0	0	5	0	0	0	0	0	5
D0718	48	0	378	1	13	69	0	14	8	9	38	48
D0590	26	0	252	1	2	28	0	23	11	16	28	43
D0589	73	0	204	0	3	22	0	15	7	4	3	47
D0106	90	1	870	2	5	67	0	56	29	42	61	104
D0959	32	1	355	2	4	42	0	38	5	4	15	43
D0549	25	0	159	0	3	15	0	12	4	9	12	30
D0515	50	0	300	0	0	44	0	19	3	29	11	34
D0483	31	0	204	0	4	38	2	18	12	11	6	51
D0646	104	1	564	0	10	40	1	97	11	19	52	113
D0516	107	4	814	0	5	57	0	118	27	20	20	230
D1031	18	0	177	0	0	22	1	11	2	12	10	24
D1186	1	0	7	0	0	1	0	0	0	0	0	0
D0945	26	0	276	0	3	13	0	16	5	5	8	44
D0823	30	1	237	1	4	26	0	18	4	3	13	41
D0788	5	0	68	0	0	6	0	2	2	1	0	11
D0817	85	0	460	1	7	34	1	39	15	7	18	130
D0938	13	0	84	0	0	21	0	4	2	3	1	13
D0994	16	0	84	0	1	2	0	3	2	3	6	28
D0594	51	3	267	2	2	17	1	26	15	15	19	53
D0876	12	0	62	1	0	8	0	3	0	9	4	16
D1201	46	1	291	1	4	22	0	12	6	25	7	42
D0901	36	0	157	0	5	22	1	15	7	6	3	26
D0892	16	0	61	0	1	7	0	9	1	9	3	21
D1064	172	1	727	1	9	92	1	26	27	22	16	89
D0588	26	0	218	1	1	14	0	24	4	10	4	19
D0648	38	2	145	0	2	9	0	7	4	2	3	40
